00AR               20131210                                                                                   
0601ARA0N       20140101000000100000115000 0000000000000027   
0601ARA0N       20140101000115100000005000 0000000030000026   
0601ARA0N       20140101000120100000005000 0000000030000024   
0601ARA0N       20140101000125100000005000 0000000030000024   
0601ARA0N       20140101000130100000005000 0000000030000023   
0601ARA0N       20140101000135100000005000 0000000030000022   
0601ARA0N       20140101000140100000005000 0000000030000021   
0601ARA0N       20140101000145100000005000 0000000030000020   
0601ARA0N       20140101000150100000005000 0000000040000026   
0601ARA0N       20140101000155100000005000 0000000060000038   
0601ARA0N       20140101000160100000005000 0000000090000055   
0601ARA0N       20140101000165100000005000 0000000120000072   
0601ARA0N       20140101000170100000005000 0000000150000087   
0601ARA0N       20140101000175100000005000 0000000190000107   
0601ARA0N       20140101000180100000005000 0000000240000132   
0601ARA0N       20140101000185100000005000 0000000280000149   
0601ARA0N       20140101000190100000005000 0000000330000171   
0601ARA0N       20140101000195100000005000 0000000380000192   
0601ARA0N       20140101000200100000005000 0000000420000207   
0601ARA0N       20140101000205100000005000 0000000480000231   
0601ARA0N       20140101000210100000005000 0000000530000249   
0601ARA0N       20140101000215100000005000 0000000580000267   
0601ARA0N       20140101000220100000005000 0000000640000288   
0601ARA0N       20140101000225100000005000 0000000690000303   
0601ARA0N       20140101000230100000005000 0000000750000323   
0601ARA0N       20140101000235100000005000 0000000830000349   
0601ARA0N       20140101000240100000005000 0000000890000367   
0601ARA0N       20140101000245100000005000 0000000950000384   
0601ARA0N       20140101000250100000005000 0000001000000396   
0601ARA0N       20140101000255100000005000 0000001060000412   
0601ARA0N       20140101000260100000005000 0000001120000427   
0601ARA0N       20140101000265100000005000 0000001180000441   
0601ARA0N       20140101000270100000005000 0000001240000455   
0601ARA0N       20140101000275100000005000 0000001300000468   
0601ARA0N       20140101000280100000005000 0000001360000481   
0601ARA0N       20140101000285100000005000 0000001410000490   
0601ARA0N       20140101000290100000005000 0000001470000503   
0601ARA0N       20140101000295100000005000 0000001530000514   
0601ARA0N       20140101000300100000005000 0000001590000526   
0601ARA0N       20140101000305100000005000 0000001650000537   
0601ARA0N       20140101000310100000005000 0000001710000547   
0601ARA0N       20140101000315100000005000 0000001770000557   
0601ARA0N       20140101000320100000005000 0000001830000567   
0601ARA0N       20140101000325100000005000 0000001900000580   
0601ARA0N       20140101000330100000005000 0000001970000592   
0601ARA0N       20140101000335100000005000 0000002040000604   
0601ARA0N       20140101000340100000005000 0000002130000622   
0601ARA0N       20140101000345100000005000 0000002200000633   
0601ARA0N       20140101000350100000005000 0000002270000644   
0601ARA0N       20140101000355100000005000 0000002340000655   
0601ARA0N       20140101000360100000005000 0000002410000665   
0601ARA0N       20140101000365100000005000 0000002480000675   
0601ARA0N       20140101000370100000005000 0000002550000685   
0601ARA0N       20140101000375100000005000 0000002620000694   
0601ARA0N       20140101000380100000005000 0000002690000703   
0601ARA0N       20140101000385100000005000 0000002770000715   
0601ARA0N       20140101000390100000005000 0000002840000724   
0601ARA0N       20140101000395100000005000 0000002910000732   
0601ARA0N       20140101000400100000005000 0000002980000740   
0601ARA0N       20140101000405100000005000 0000003050000748   
0601ARA0N       20140101000410100000005000 0000003120000756   
0601ARA0N       20140101000415100000005000 0000003190000764   
0601ARA0N       20140101000420100000005000 0000003270000774   
0601ARA0N       20140101000425100000005000 0000003340000781   
0601ARA0N       20140101000430100000005000 0000003410000788   
0601ARA0N       20140101000435100000005000 0000003480000795   
0601ARA0N       20140101000440100000005000 0000003550000802   
0601ARA0N       20140101000445100000005000 0000003620000809   
0601ARA0N       20140101000450100000005000 0000003690000815   
0601ARA0N       20140101000455100000005000 0000003760000822   
0601ARA0N       20140101000460100000005000 0000003840000830   
0601ARA0N       20140101000465100000005000 0000003920000839   
0601ARA0N       20140101000470100000005000 0000004000000847   
0601ARA0N       20140101000475100000005000 0000004100000859   
0601ARA0N       20140101000480100000005000 0000004180000866   
0601ARA0N       20140101000485100000005000 0000004270000876   
0601ARA0N       20140101000490100000005000 0000004350000883   
