00AG               20161121                                                                                   
0601AGA0N       20170101000000100000025000 0000000020000000   
0601AGA0N       20170101000025100000005000 0000000020000000   
0601AGA0N       20170101000030100000005000 0000000020000000   
0601AGA0N       20170101000035100000005000 0000000020000000   
0601AGA0N       20170101000040100000005000 0000000020000000   
0601AGA0N       20170101000045100000005000 0000000020000000   
0601AGA0N       20170101000050100000005000 0000000020000000   
0601AGA0N       20170101000055100000005000 0000000020000000   
0601AGA0N       20170101000060100000005000 0000000020000000   
0601AGA0N       20170101000065100000005000 0000000020000000   
0601AGA0N       20170101000070100000005000 0000000020000000   
0601AGA0N       20170101000075100000005000 0000000020000000   
0601AGA0N       20170101000080100000005000 0000000020000000   
0601AGA0N       20170101000085100000005000 0000000020000000   
0601AGA0N       20170101000090100000005000 0000000020000000   
0601AGA0N       20170101000095100000005000 0000000020000000   
0601AGA0N       20170101000100100000005000 0000000020000000   
0601AGA0N       20170101000105100000005000 0000000020000000   
0601AGA0N       20170101000110100000005000 0000000020000000   
0601AGA0N       20170101000115100000005000 0000000020000000   
0601AGA0N       20170101000120100000005000 0000000020000000   
0601AGA0N       20170101000125100000005000 0000000020000000   
0601AGA0N       20170101000130100000005000 0000000020000000   
0601AGA0N       20170101000135100000005000 0000000020000000   
0601AGA0N       20170101000140100000005000 0000000020000000   
0601AGA0N       20170101000145100000005000 0000000020000000   
0601AGA0N       20170101000150100000005000 0000000020000000   
0601AGA0N       20170101000155100000005000 0000000020000000   
0601AGA0N       20170101000160100000005000 0000000020000000   
0601AGA0N       20170101000165100000005000 0000000020000000   
0601AGA0N       20170101000170100000005000 0000000020000000   
0601AGA0N       20170101000175100000005000 0000000020000000   
0601AGA0N       20170101000180100000005000 0000000020000000   
0601AGA0N       20170101000185100000005000 0000000020000000   
0601AGA0N       20170101000190100000005000 0000000090000050   
0601AGA0N       20170101000195100000005000 0000000090000050   
0601AGA0N       20170101000200100000005000 0000000120000060   
0601AGA0N       20170101000205100000005000 0000000140000070   
0601AGA0N       20170101000210100000005000 0000000140000070   
0601AGA0N       20170101000215100000005000 0000000170000080   
0601AGA0N       20170101000220100000005000 0000000170000080   
0601AGA0N       20170101000225100000005000 0000000200000090   
0601AGA0N       20170101000230100000005000 0000000230000100   
0601AGA0N       20170101000235100000005000 0000000260000110   
0601AGA0N       20170101000240100000005000 0000000290000120   
0601AGA0N       20170101000245100000005000 0000000590000240   
0601AGA0N       20170101000250100000005000 0000000630000250   
0601AGA0N       20170101000255100000005000 0000000660000260   
0601AGA0N       20170101000260100000005000 0000000700000270   
0601AGA0N       20170101000265100000005000 0000000740000280   
0601AGA0N       20170101000270100000005000 0000000790000290   
0601AGA0N       20170101000275100000005000 0000000830000300   
0601AGA0N       20170101000280100000005000 0000000870000310   
0601AGA0N       20170101000285100000005000 0000000920000320   
0601AGA0N       20170101000290100000005000 0000000960000330   
0601AGA0N       20170101000295100000005000 0000001010000340   
0601AGA0N       20170101000300100000005000 0000001140000380   
0601AGA0N       20170101000305100000005000 0000001160000380   
0601AGA0N       20170101000310100000005000 0000001210000390   
0601AGA0N       20170101000315100000005000 0000001270000400   
