00BL               20161213                                                                                   
0601BLA0N       20170101000000100000120000 0000000000000000   
0601BLA0N       20170101000120100000005000 0000000010000008   
0601BLA0N       20170101000125100000005000 0000000010000008   
0601BLA0N       20170101000130100000005000 0000000010000008   
0601BLA0N       20170101000135100000005000 0000000010000007   
0601BLA0N       20170101000140100000005000 0000000010000007   
0601BLA0N       20170101000145100000005000 0000000010000007   
0601BLA0N       20170101000150100000005000 0000000010000007   
0601BLA0N       20170101000155100000005000 0000000020000013   
0601BLA0N       20170101000160100000005000 0000000020000012   
0601BLA0N       20170101000165100000005000 0000000020000012   
0601BLA0N       20170101000170100000005000 0000000020000012   
0601BLA0N       20170101000175100000005000 0000000020000011   
0601BLA0N       20170101000180100000005000 0000000020000011   
0601BLA0N       20170101000185100000005000 0000000020000011   
0601BLA0N       20170101000190100000005000 0000000020000010   
0601BLA0N       20170101000195100000005000 0000000030000015   
0601BLA0N       20170101000200100000005000 0000000030000015   
0601BLA0N       20170101000205100000005000 0000000030000014   
0601BLA0N       20170101000210100000005000 0000000130000061   
0601BLA0N       20170101000215100000005000 0000000160000074   
0601BLA0N       20170101000220100000005000 0000000200000090   
0601BLA0N       20170101000225100000005000 0000000250000110   
0601BLA0N       20170101000230100000005000 0000000170000073   
0601BLA0N       20170101000235100000005000 0000000210000088   
0601BLA0N       20170101000240100000005000 0000000250000103   
0601BLA0N       20170101000245100000005000 0000000290000117   
0601BLA0N       20170101000250100000005000 0000000330000131   
0601BLA0N       20170101000255100000005000 0000000370000144   
0601BLA0N       20170101000260100000005000 0000000420000160   
0601BLA0N       20170101000265100000005000 0000000470000176   
0601BLA0N       20170101000270100000005000 0000000520000191   
0601BLA0N       20170101000275100000005000 0000000570000205   
0601BLA0N       20170101000280100000005000 0000000620000219   
0601BLA0N       20170101000285100000005000 0000000670000233   
0601BLA0N       20170101000290100000005000 0000000730000250   
0601BLA0N       20170101000295100000005000 0000000790000266   
0601BLA0N       20170101000300100000005000 0000000840000278   
0601BLA0N       20170101000305100000005000 0000000900000293   
0601BLA0N       20170101000310100000005000 0000000960000307   
0601BLA0N       20170101000315100000005000 0000001030000324   
0601BLA0N       20170101000320100000005000 0000001090000338   
0601BLA0N       20170101000325100000005000 0000001160000354   
0601BLA0N       20170101000330100000005000 0000001220000367   
0601BLA0N       20170101000335100000005000 0000001290000382   
0601BLA0N       20170101000340100000005000 0000001360000397   
0601BLA0N       20170101000345100000005000 0000001430000412   
0601BLA0N       20170101000350100000005000 0000001500000426   
0601BLA0N       20170101000355100000005000 0000001570000439   
0601BLA0N       20170101000360100000005000 0000001640000452   
0601BLA0N       20170101000365100000005000 0000001720000468   
0601BLA0N       20170101000370100000005000 0000001790000481   
0601BLA0N       20170101000375100000005000 0000001870000495   
0601BLA0N       20170101000380100000005000 0000001950000510   
0601BLA0N       20170101000385100000005000 0000002020000521   
0601BLA0N       20170101000390100000005000 0000002100000535   
