00GE               20161120                                                                                   
0601GEA0N       20170101000000000000225000 0000000000000000   
0601GEA0N       20170101000225005000005000 0000000000000023   
0601GEA0N       20170101000230005000005000 0000000000000048   
0601GEA0N       20170101000235005000005000 0000000000000081   
0601GEA0N       20170101000240005000005000 0000000000000105   
0601GEA0N       20170101000245005000005000 0000000000000128   
0601GEA0N       20170101000250005000005000 0000000000000150   
0601GEA0N       20170101000255005000005000 0000000000000171   
0601GEA0N       20170101000260005000005000 0000000000000194   
0601GEA0N       20170101000265005000005000 0000000000000216   
0601GEA0N       20170101000270005000005000 0000000000000238   
0601GEA0N       20170101000275005000005000 0000000000000259   
0601GEA0N       20170101000280005000005000 0000000000000280   
0601GEA0N       20170101000285005000005000 0000000000000302   
0601GEA0N       20170101000290005000005000 0000000000000323   
0601GEA0N       20170101000295005000005000 0000000000000344   
0601GEA0N       20170101000300005000005000 0000000000000364   
0601GEA0N       20170101000305005000005000 0000000000000386   
0601GEA0N       20170101000310005000005000 0000000000000407   
0601GEA0N       20170101000315005000005000 0000000000000427   
0601GEA0N       20170101000320005000005000 0000000000000447   
0601GEA0N       20170101000325005000005000 0000000000000468   
0601GEA0N       20170101000330005000005000 0000000000000489   
0601GEA0N       20170101000335005000005000 0000000000000509   
0601GEA0N       20170101000340005000005000 0000000000000528   
0601GEA0N       20170101000345005000005000 0000000000000547   
0601GEA0N       20170101000350005000005000 0000000000000565   
0601GEA0N       20170101000355005000005000 0000000000000583   
0601GEA0N       20170101000360005000005000 0000000000000600   
0601GEA0N       20170101000365005000005000 0000000000000617   
0601GEA0N       20170101000370005000005000 0000000000000633   
0601GEA0N       20170101000375005000005000 0000000000000651   
0601GEA0N       20170101000380005000005000 0000000000000668   
0601GEA0N       20170101000385005000005000 0000000000000685   
0601GEA0N       20170101000390005000005000 0000000000000702   
0601GEA0N       20170101000395005000005000 0000000000000718   
0601GEA0N       20170101000400005000005000 0000000000000734   
0601GEA0N       20170101000405005000005000 0000000000000749   
0601GEA0N       20170101000410005000005000 0000000000000764   
0601GEA0N       20170101000415005000005000 0000000000000780   
0601GEA0N       20170101000420005000005000 0000000000000796   
0601GEA0N       20170101000425005000005000 0000000000000812   
0601GEA0N       20170101000430005000005000 0000000000000827   
0601GEA0N       20170101000435005000005000 0000000000000842   
0601GEA0N       20170101000440005000005000 0000000000000857   
0601GEA0N       20170101000445005000005000 0000000000000871   
0601GEA0N       20170101000450005000005000 0000000000000885   
0601GEA0N       20170101000455005000005000 0000000000000899   
0601GEA0N       20170101000460005000005000 0000000000000913   
0601GEA0N       20170101000465005000005000 0000000000000927   
0601GEA0N       20170101000470005000005000 0000000000000941   
0601GEA0N       20170101000475005000005000 0000000000000956   
0601GEA0N       20170101000480005000005000 0000000000000971   
0601GEA0N       20170101000485005000005000 0000000000000985   
0601GEA0N       20170101000490005000005000 0000000000000999   
0601GEA0N       20170101000495005000005000 0000000000001013   
0601GEA0N       20170101000500005000005000 0000000000001027   
0601GEA0N       20170101000505005000005000 0000000000001041   
0601GEA0N       20170101000510005000005000 0000000000001054   
0601GEA0N       20170101000515005000005000 0000000000001068   
0601GEA0N       20170101000520005000005000 0000000000001081   
0601GEA0N       20170101000525005000005000 0000000000001094   
0601GEA0N       20170101000530005000005000 0000000000001107   
0601GEA0N       20170101000535005000005000 0000000000001119   
0601GEA0N       20170101000540005000005000 0000000000001131   
0601GEA0N       20170101000545005000005000 0000000000001144   
0601GEA0N       20170101000550005000005000 0000000000001156   
0601GEA0N       20170101000555005000005000 0000000000001168   
0601GEA0N       20170101000560005000005000 0000000000001180   
0601GEA0N       20170101000565005000005000 0000000000001192   
0601GEA0N       20170101000570005000005000 0000000000001203   
0601GEA0N       20170101000575005000005000 0000000000001214   
0601GEA0N       20170101000580005000005000 0000000000001225   
0601GEA0N       20170101000585005000005000 0000000000001236   
0601GEA0N       20170101000590005000005000 0000000000001247   
0601GEA0N       20170101000595005000005000 0000000000001257   
0601GEA0N       20170101000600005000005000 0000000000001267   
0601GEA0N       20170101000605005000005000 0000000000001278   
0601GEA0N       20170101000610005000005000 0000000000001288   
0601GEA0N       20170101000615005000005000 0000000000001298   
0601GEA0N       20170101000620005000005000 0000000000001308   
