00SG               20161130                                                                                   
0601SGA0N       20170101000000100000005000 0000000000002000   
0601SGA0N       20170101000005100000005000 0000000000000667   
0601SGA0N       20170101000010100000005000 0000000000000400   
0601SGA0N       20170101000015100000005000 0000000000000286   
0601SGA0N       20170101000020100000005000 0000000000000222   
0601SGA0N       20170101000025100000005000 0000000000000182   
0601SGA0N       20170101000030100000005000 0000000000000154   
0601SGA0N       20170101000035100000005000 0000000000000133   
0601SGA0N       20170101000040100000005000 0000000000000118   
0601SGA0N       20170101000045100000005000 0000000000000105   
0601SGA0N       20170101000050100000005000 0000000000000095   
0601SGA0N       20170101000055100000005000 0000000000000087   
0601SGA0N       20170101000060100000005000 0000000000000080   
0601SGA0N       20170101000065100000005000 0000000000000074   
0601SGA0N       20170101000070100000005000 0000000000000069   
0601SGA0N       20170101000075100000005000 0000000000000065   
0601SGA0N       20170101000080100000005000 0000000000000061   
0601SGA0N       20170101000085100000005000 0000000000000057   
0601SGA0N       20170101000090100000005000 0000000000000054   
0601SGA0N       20170101000095100000005000 0000000000000051   
0601SGA0N       20170101000100100000005000 0000000000000049   
0601SGA0N       20170101000105100000005000 0000000000000047   
0601SGA0N       20170101000110100000005000 0000000000000044   
0601SGA0N       20170101000115100000005000 0000000000000043   
0601SGA0N       20170101000120100000005000 0000000000000041   
0601SGA0N       20170101000125100000005000 0000000000000039   
0601SGA0N       20170101000130100000005000 0000000000000038   
0601SGA0N       20170101000135100000005000 0000000000000036   
0601SGA0N       20170101000140100000005000 0000000000000035   
0601SGA0N       20170101000145100000005000 0000000000000034   
0601SGA0N       20170101000150100000005000 0000000000000033   
0601SGA0N       20170101000155100000005000 0000000000000032   
0601SGA0N       20170101000160100000005000 0000000000000035   
0601SGA0N       20170101000165100000005000 0000000000000058   
0601SGA0N       20170101000170100000005000 0000000000000080   
0601SGA0N       20170101000175100000005000 0000000000000100   
0601SGA0N       20170101000180100000005000 0000000000000119   
0601SGA0N       20170101000185100000005000 0000000000000138   
0601SGA0N       20170101000190100000005000 0000000000000155   
0601SGA0N       20170101000195100000005000 0000000000000175   
0601SGA0N       20170101000200100000005000 0000000000000201   
0601SGA0N       20170101000205100000005000 0000000000000226   
0601SGA0N       20170101000210100000005000 0000000000000251   
0601SGA0N       20170101000215100000005000 0000000000000275   
0601SGA0N       20170101000220100000005000 0000000000000297   
0601SGA0N       20170101000225100000005000 0000000000000319   
0601SGA0N       20170101000230100000005000 0000000000000340   
0601SGA0N       20170101000235100000005000 0000000000000369   
0601SGA0N       20170101000240100000005000 0000000000000389   
0601SGA0N       20170101000245100000005000 0000000000000408   
0601SGA0N       20170101000250100000005000 0000000000000427   
0601SGA0N       20170101000255100000005000 0000000000000444   
0601SGA0N       20170101000260100000005000 0000000000000462   
0601SGA0N       20170101000265100000005000 0000000000000478   
0601SGA0N       20170101000270100000005000 0000000000000494   
0601SGA0N       20170101000275100000005000 0000000000000509   
0601SGA0N       20170101000280100000005000 0000000000000524   
0601SGA0N       20170101000285100000005000 0000000000000538   
0601SGA0N       20170101000290100000005000 0000000000000552   
0601SGA0N       20170101000295100000005000 0000000000000566   
0601SGA0N       20170101000300100000005000 0000000000000578   
0601SGA0N       20170101000305100000005000 0000000000000591   
0601SGA0N       20170101000310100000005000 0000000000000603   
0601SGA0N       20170101000315100000005000 0000000000000614   
0601SGA0N       20170101000320100000005000 0000000000000626   
0601SGA0N       20170101000325100000005000 0000000000000641   
0601SGA0N       20170101000330100000005000 0000000000000651   
0601SGA0N       20170101000335100000005000 0000000000000662   
0601SGA0N       20170101000340100000005000 0000000000000672   
0601SGA0N       20170101000345100000005000 0000000000000681   
0601SGA0N       20170101000350100000005000 0000000000000691   
0601SGA0N       20170101000355100000005000 0000000000000700   
0601SGA0N       20170101000360100000005000 0000000000000709   
0601SGA0N       20170101000365100000005000 0000000000000719   
0601SGA0N       20170101000370100000005000 0000000000000733   
0601SGA0N       20170101000375100000005000 0000000000000747   
0601SGA0N       20170101000380100000005000 0000000000000760   
0601SGA0N       20170101000385100000005000 0000000000000773   
0601SGA0N       20170101000390100000005000 0000000000000786   
0601SGA0N       20170101000395100000005000 0000000000000799   
0601SGA0N       20170101000400100000005000 0000000000000811   
0601SGA0N       20170101000405100000005000 0000000000000823   
0601SGA0N       20170101000410100000005000 0000000000000834   
0601SGA0N       20170101000415100000005000 0000000000000846   
0601SGA0N       20170101000420100000005000 0000000000000857   
0601SGA0N       20170101000425100000005000 0000000000000867   
0601SGA0N       20170101000430100000005000 0000000000000878   
0601SGA0N       20170101000435100000005000 0000000000000888   
0601SGA0N       20170101000440100000005000 0000000000000898   
0601SGA0N       20170101000445100000005000 0000000000000908   
0601SGA0N       20170101000450100000005000 0000000000000918   
0601SGA0N       20170101000455100000005000 0000000000000931   
0601SGA0N       20170101000460100000005000 0000000000000940   
0601SGA0N       20170101000465100000005000 0000000000000949   
0601SGA0N       20170101000470100000005000 0000000000000959   
0601SGA0N       20170101000475100000005000 0000000000000969   
0601SGA0N       20170101000480100000005000 0000000000000979   
0601SGA0N       20170101000485100000005000 0000000000000989   
0601SGA0N       20170101000490100000005000 0000000000000999   
0601SGA0N       20170101000495100000005000 0000000000001008   
0601SGA0N       20170101000500100000005000 0000000000001017   
0601SGA0N       20170101000505100000005000 0000000000001026   
0601SGA0N       20170101000510100000005000 0000000000001035   
0601SGA0N       20170101000515100000005000 0000000000001044   
0601SGA0N       20170101000520100000005000 0000000000001053   
0601SGA0N       20170101000525100000005000 0000000000001061   
0601SGA0N       20170101000530100000005000 0000000000001069   
0601SGA0N       20170101000535100000005000 0000000000001077   
0601SGA0N       20170101000540100000005000 0000000000001085   
0601SGA0N       20170101000545100000005000 0000000000001093   
0601SGA0N       20170101000550100000005000 0000000000001100   
0601SGA0N       20170101000555100000005000 0000000000001108   
0601SGA0N       20170101000560100000005000 0000000000001115   
0601SGA0N       20170101000565100000005000 0000000000001122   
0601SGA0N       20170101000570100000005000 0000000000001129   
0601SGA0N       20170101000575100000005000 0000000000001136   
0601SGA0N       20170101000580100000005000 0000000000001143   
0601SGA0N       20170101000585100000005000 0000000000001153   
0601SGA0N       20170101000590100000005000 0000000000001159   
0601SGA0N       20170101000595100000005000 0000000000001166   
0601SGA0N       20170101000600100000005000 0000000000001172   
0601SGA0N       20170101000605100000005000 0000000000001179   
0601SGA0N       20170101000610100000005000 0000000000001185   
0601SGA0N       20170101000615100000005000 0000000000001192   
0601SGA0N       20170101000620100000005000 0000000000001200   
0601SGA0N       20170101000625100000005000 0000000000001209   
0601SGA0N       20170101000630100000005000 0000000000001216   
0601SGA0N       20170101000635100000005000 0000000000001223   
0601SGA0N       20170101000640100000005000 0000000000001230   
0601SGA0N       20170101000645100000005000 0000000000001237   
0601SGA0N       20170101000650100000005000 0000000000001243   
0601SGA0N       20170101000655100000005000 0000000000001250   
0601SGA0N       20170101000660100000005000 0000000000001256   
0601SGA0N       20170101000665100000005000 0000000000001262   
0601SGA0N       20170101000670100000005000 0000000000001268   
0601SGA0N       20170101000675100000005000 0000000000001277   
0601SGA0N       20170101000680100000005000 0000000000001283   
0601SGA0N       20170101000685100000005000 0000000000001289   
0601SGA0N       20170101000690100000005000 0000000000001295   
