00VD               20160830                                                                                   
0601VDA0N       20170101000000100000235000 0000000000000000   
0601VDA0N       20170101000235100000005000 0000000000000019   
0601VDA0N       20170101000240100000005000 0000000000000032   
0601VDA0N       20170101000245100000005000 0000000000000045   
0601VDA0N       20170101000250100000005000 0000000000000059   
0601VDA0N       20170101000255100000005000 0000000000000077   
0601VDA0N       20170101000260100000005000 0000000000000094   
0601VDA0N       20170101000265100000005000 0000000000000119   
0601VDA0N       20170101000270100000005000 0000000000000140   
0601VDA0N       20170101000275100000005000 0000000000000158   
0601VDA0N       20170101000280100000005000 0000000000000181   
0601VDA0N       20170101000285100000005000 0000000000000203   
0601VDA0N       20170101000290100000005000 0000000000000230   
0601VDA0N       20170101000295100000005000 0000000000000252   
0601VDA0N       20170101000300100000005000 0000000000000273   
0601VDA0N       20170101000305100000005000 0000000000000300   
0601VDA0N       20170101000310100000005000 0000000000000330   
0601VDA0N       20170101000315100000005000 0000000000000350   
0601VDA0N       20170101000320100000005000 0000000000000377   
0601VDA0N       20170101000325100000005000 0000000000000400   
0601VDA0N       20170101000330100000005000 0000000000000428   
0601VDA0N       20170101000335100000005000 0000000000000459   
0601VDA0N       20170101000340100000005000 0000000000000480   
0601VDA0N       20170101000345100000005000 0000000000000505   
0601VDA0N       20170101000350100000005000 0000000000000525   
0601VDA0N       20170101000355100000005000 0000000000000553   
0601VDA0N       20170101000360100000005000 0000000000000575   
0601VDA0N       20170101000365100000005000 0000000000000595   
0601VDA0N       20170101000370100000005000 0000000000000616   
0601VDA0N       20170101000375100000005000 0000000000000638   
0601VDA0N       20170101000380100000005000 0000000000000667   
0601VDA0N       20170101000385100000005000 0000000000000691   
0601VDA0N       20170101000390100000005000 0000000000000711   
0601VDA0N       20170101000395100000005000 0000000000000733   
0601VDA0N       20170101000400100000005000 0000000000000752   
0601VDA0N       20170101000405100000005000 0000000000000777   
0601VDA0N       20170101000410100000005000 0000000000000799   
0601VDA0N       20170101000415100000005000 0000000000000816   
0601VDA0N       20170101000420100000005000 0000000000000837   
0601VDA0N       20170101000425100000005000 0000000000000859   
0601VDA0N       20170101000430100000005000 0000000000000876   
0601VDA0N       20170101000435100000005000 0000000000000894   
0601VDA0N       20170101000440100000005000 0000000000000909   
0601VDA0N       20170101000445100000005000 0000000000000928   
0601VDA0N       20170101000450100000005000 0000000000000948   
0601VDA0N       20170101000455100000005000 0000000000000963   
0601VDA0N       20170101000460100000005000 0000000000000980   
0601VDA0N       20170101000465100000005000 0000000000000992   
0601VDA0N       20170101000470100000005000 0000000000001014   
0601VDA0N       20170101000475100000005000 0000000000001034   
0601VDA0N       20170101000480100000005000 0000000000001051   
0601VDA0N       20170101000485100000005000 0000000000001070   
0601VDA0N       20170101000490100000005000 0000000000001086   
0601VDA0N       20170101000495100000005000 0000000000001109   
0601VDA0N       20170101000500100000005000 0000000000001128   
0601VDA0N       20170101000505100000005000 0000000000001143   
0601VDA0N       20170101000510100000005000 0000000000001160   
0601VDA0N       20170101000515100000005000 0000000000001175   
0601VDA0N       20170101000520100000005000 0000000000001196   
0601VDA0N       20170101000525100000005000 0000000000001213   
0601VDA0N       20170101000530100000005000 0000000000001226   
0601VDA0N       20170101000535100000005000 0000000000001239   
0601VDA0N       20170101000540100000005000 0000000000001249   
0601VDA0N       20170101000545100000005000 0000000000001256   
0601VDA0N       20170101000550100000005000 0000000000001262   
0601VDA0N       20170101000555100000005000 0000000000001268   
0601VDA0N       20170101000560100000005000 0000000000001275   
0601VDA0N       20170101000565100000005000 0000000000001280   
0601VDA0N       20170101000570100000005000 0000000000001286   
0601VDA0N       20170101000575100000005000 0000000000001292   
0601VDA0N       20170101000580100000005000 0000000000001298   
0601VDA0N       20170101000585100000005000 0000000000001303   
0601VDA0N       20170101000590100000005000 0000000000001308   
0601VDA0N       20170101000595100000005000 0000000000001315   
0601VDA0N       20170101000600100000005000 0000000000001321   
0601VDA0N       20170101000605100000005000 0000000000001328   
0601VDA0N       20170101000610100000005000 0000000000001339   
0601VDA0N       20170101000615100000005000 0000000000001345   
0601VDA0N       20170101000620100000005000 0000000000001351   
0601VDA0N       20170101000625100000005000 0000000000001359   
0601VDA0N       20170101000630100000005000 0000000000001365   
0601VDA0N       20170101000635100000005000 0000000000001371   
0601VDA0N       20170101000640100000005000 0000000000001378   
0601VDA0N       20170101000645100000005000 0000000000001384   
0601VDA0N       20170101000650100000005000 0000000000001389   
0601VDA0N       20170101000655100000005000 0000000000001395   
0601VDA0N       20170101000660100000005000 0000000000001401   
0601VDA0N       20170101000665100000005000 0000000000001406   
0601VDA0N       20170101000670100000005000 0000000000001413   
0601VDA0N       20170101000675100000005000 0000000000001418   
0601VDA0N       20170101000680100000005000 0000000000001424   
0601VDA0N       20170101000685100000005000 0000000000001429   
0601VDA0N       20170101000690100000005000 0000000000001435   
0601VDA0N       20170101000695100000005000 0000000000001440   
0601VDA0N       20170101000700100000005000 0000000000001445   
0601VDA0N       20170101000705100000005000 0000000000001450   
0601VDA0N       20170101000710100000005000 0000000000001455   
0601VDA0N       20170101000715100000005000 0000000000001460   
0601VDA0N       20170101000720100000005000 0000000000001465   
0601VDA0N       20170101000725100000005000 0000000000001470   
0601VDA0N       20170101000730100000005000 0000000000001475   
0601VDA0N       20170101000735100000005000 0000000000001479   
0601VDA0N       20170101000740100000005000 0000000000001484   
0601VDA0N       20170101000745100000005000 0000000000001491   
0601VDA0N       20170101000750100000005000 0000000000001496   
0601VDA0N       20170101000755100000005000 0000000000001501   
0601VDA0N       20170101000760100000005000 0000000000001507   
0601VDA0N       20170101000765100000005000 0000000000001512   
0601VDA0N       20170101000770100000005000 0000000000001517   
0601VDA0N       20170101000775100000005000 0000000000001524   
0601VDA0N       20170101000780100000005000 0000000000001531   
0601VDA0N       20170101000785100000005000 0000000000001538   
0601VDA0N       20170101000790100000005000 0000000000001544   
0601VDA0N       20170101000795100000005000 0000000000001551   
0601VDA0N       20170101000800100000005000 0000000000001557   
0601VDA0N       20170101000805100000005000 0000000000001564   
0601VDA0N       20170101000810100000005000 0000000000001570   
0601VDA0N       20170101000815100000005000 0000000000001577   
0601VDA0N       20170101000820100000005000 0000000000001583   
0601VDA0N       20170101000825100000005000 0000000000001589   
0601VDA0N       20170101000830100000005000 0000000000001596   
0601VDA0N       20170101000835100000005000 0000000000001602   
0601VDA0N       20170101000840100000005000 0000000000001608   
0601VDA0N       20170101000845100000005000 0000000000001614   
0601VDA0N       20170101000850100000005000 0000000000001620   
0601VDA0N       20170101000855100000005000 0000000000001627   
0601VDA0N       20170101000860100000005000 0000000000001633   
0601VDA0N       20170101000865100000005000 0000000000001638   
0601VDA0N       20170101000870100000005000 0000000000001644   
0601VDA0N       20170101000875100000005000 0000000000001651   
0601VDA0N       20170101000880100000005000 0000000000001659   
0601VDA0N       20170101000885100000005000 0000000000001664   
0601VDA0N       20170101000890100000005000 0000000000001671   
0601VDA0N       20170101000895100000005000 0000000000001676   
0601VDA0N       20170101000900100000005000 0000000000001681   
0601VDA0N       20170101000905100000005000 0000000000001687   
0601VDA0N       20170101000910100000005000 0000000000001692   
0601VDA0N       20170101000915100000005000 0000000000001698   
0601VDA0N       20170101000920100000005000 0000000000001705   
0601VDA0N       20170101000925100000005000 0000000000001711   
0601VDA0N       20170101000930100000005000 0000000000001717   
0601VDA0N       20170101000935100000005000 0000000000001723   
0601VDA0N       20170101000940100000005000 0000000000001729   
0601VDA0N       20170101000945100000005000 0000000000001735   
0601VDA0N       20170101000950100000005000 0000000000001740   
0601VDA0N       20170101000955100000005000 0000000000001746   
0601VDA0N       20170101000960100000005000 0000000000001752   
0601VDA0N       20170101000965100000005000 0000000000001758   
0601VDA0N       20170101000970100000005000 0000000000001764   
0601VDA0N       20170101000975100000005000 0000000000001770   
0601VDA0N       20170101000980100000005000 0000000000001775   
0601VDA0N       20170101000985100000005000 0000000000001780   
0601VDA0N       20170101000990100000005000 0000000000001786   
0601VDA0N       20170101000995100000005000 0000000000001791   
0601VDA0N       20170101001000100000005000 0000000000001796   
0601VDA0N       20170101001005100000005000 0000000000001802   
0601VDA0N       20170101001010100000005000 0000000000001806   
0601VDA0N       20170101001015100000005000 0000000000001815   
0601VDA0N       20170101001020100000005000 0000000000001820   
0601VDA0N       20170101001025100000005000 0000000000001825   
0601VDA0N       20170101001030100000005000 0000000000001829   
0601VDA0N       20170101001035100000005000 0000000000001835   
0601VDA0N       20170101001040100000005000 0000000000001840   
0601VDA0N       20170101001045100000005000 0000000000001844   
0601VDA0N       20170101001050100000005000 0000000000001850   
0601VDA0N       20170101001055100000005000 0000000000001854   
0601VDA0N       20170101001060100000005000 0000000000001859   
0601VDA0N       20170101001065100000005000 0000000000001863   
0601VDA0N       20170101001070100000005000 0000000000001869   
0601VDA0N       20170101001075100000005000 0000000000001876   
0601VDA0N       20170101001080100000005000 0000000000001881   
0601VDA0N       20170101001085100000005000 0000000000001886   
0601VDA0N       20170101001090100000005000 0000000000001892   
0601VDA0N       20170101001095100000005000 0000000000001898   
0601VDA0N       20170101001100100000005000 0000000000001904   
0601VDA0N       20170101001105100000005000 0000000000001912   
0601VDA0N       20170101001110100000005000 0000000000001918   
0601VDA0N       20170101001115100000005000 0000000000001923   
0601VDA0N       20170101001120100000005000 0000000000001928   
0601VDA0N       20170101001125100000005000 0000000000001937   
0601VDA0N       20170101001130100000005000 0000000000001942   
0601VDA0N       20170101001135100000005000 0000000000001947   
0601VDA0N       20170101001140100000005000 0000000000001955   
0601VDA0N       20170101001145100000005000 0000000000001960   
0601VDA0N       20170101001150100000005000 0000000000001965   
0601VDA0N       20170101001155100000005000 0000000000001972   
0601VDA0N       20170101001160100000005000 0000000000001977   
0601VDA0N       20170101001165100000005000 0000000000001982   
0601VDA0N       20170101001170100000005000 0000000000001990   
0601VDA0N       20170101001175100000005000 0000000000001995   
0601VDA0N       20170101001180100000005000 0000000000002000   
0601VDA0N       20170101001185100000005000 0000000000002007   
0601VDA0N       20170101001190100000005000 0000000000002012   
0601VDA0N       20170101001195100000005000 0000000000002017   
0601VDA0N       20170101001200100000005000 0000000000002024   
0601VDA0N       20170101001205100000005000 0000000000002028   
0601VDA0N       20170101001210100000005000 0000000000002033   
0601VDA0N       20170101001215100000005000 0000000000002041   
0601VDA0N       20170101001220100000005000 0000000000002045   
0601VDA0N       20170101001225100000005000 0000000000002049   
0601VDA0N       20170101001230100000005000 0000000000002056   
0601VDA0N       20170101001235100000005000 0000000000002061   
0601VDA0N       20170101001240100000005000 0000000000002065   
0601VDA0N       20170101001245100000005000 0000000000002072   
0601VDA0N       20170101001250100000005000 0000000000002076   
0601VDA0N       20170101001255100000005000 0000000000002081   
0601VDA0N       20170101001260100000005000 0000000000002087   
0601VDA0N       20170101001265100000005000 0000000000002091   
0601VDA0N       20170101001270100000005000 0000000000002095   
0601VDA0N       20170101001275100000005000 0000000000002101   
0601VDA0N       20170101001280100000005000 0000000000002106   
0601VDA0N       20170101001285100000005000 0000000000002109   
0601VDA0N       20170101001290100000005000 0000000000002116   
0601VDA0N       20170101001295100000005000 0000000000002120   
0601VDA0N       20170101001300100000005000 0000000000002124   
0601VDA0N       20170101001305100000005000 0000000000002130   
0601VDA0N       20170101001310100000005000 0000000000002134   
0601VDA0N       20170101001315100000005000 0000000000002138   
0601VDA0N       20170101001320100000005000 0000000000002145   
0601VDA0N       20170101001325100000005000 0000000000002149   
0601VDA0N       20170101001330100000005000 0000000000002153   
0601VDA0N       20170101001335100000005000 0000000000002160   
0601VDA0N       20170101001340100000005000 0000000000002163   
0601VDA0N       20170101001345100000005000 0000000000002168   
0601VDA0N       20170101001350100000005000 0000000000002174   
0601VDA0N       20170101001355100000005000 0000000000002177   
0601VDA0N       20170101001360100000005000 0000000000002182   
0601VDA0N       20170101001365100000005000 0000000000002188   
0601VDA0N       20170101001370100000005000 0000000000002191   
0601VDA0N       20170101001375100000005000 0000000000002196   
0601VDA0N       20170101001380100000005000 0000000000002202   
0601VDA0N       20170101001385100000005000 0000000000002206   
0601VDA0N       20170101001390100000005000 0000000000002211   
0601VDA0N       20170101001395100000005000 0000000000002218   
0601VDA0N       20170101001400100000005000 0000000000002222   
0601VDA0N       20170101001405100000005000 0000000000002226   
0601VDA0N       20170101001410100000005000 0000000000002232   
0601VDA0N       20170101001415100000005000 0000000000002237   
0601VDA0N       20170101001420100000005000 0000000000002241   
0601VDA0N       20170101001425100000005000 0000000000002248   
0601VDA0N       20170101001430100000005000 0000000000002252   
0601VDA0N       20170101001435100000005000 0000000000002256   
0601VDA0N       20170101001440100000005000 0000000000002262   
0601VDA0N       20170101001445100000005000 0000000000002266   
0601VDA0N       20170101001450100000005000 0000000000002270   
0601VDA0N       20170101001455100000005000 0000000000002276   
0601VDA0N       20170101001460100000005000 0000000000002280   
0601VDA0N       20170101001465100000005000 0000000000002284   
0601VDA0N       20170101001470100000005000 0000000000002290   
0601VDA0N       20170101001475100000005000 0000000000002294   
0601VDA0N       20170101001480100000005000 0000000000002298   
0601VDA0N       20170101001485100000005000 0000000000002304   
0601VDA0N       20170101001490100000005000 0000000000002308   
0601VDA0N       20170101001495100000005000 0000000000002312   
0601VDA0N       20170101001500100000005000 0000000000002317   
0601VDA0N       20170101001505100000005000 0000000000002321   
0601VDA0N       20170101001510100000005000 0000000000002324   
0601VDA0N       20170101001515100000005000 0000000000002331   
0601VDA0N       20170101001520100000005000 0000000000002334   
0601VDA0N       20170101001525100000005000 0000000000002338   
0601VDA0N       20170101001530100000005000 0000000000002343   
0601VDA0N       20170101001535100000005000 0000000000002347   
0601VDA0N       20170101001540100000005000 0000000000002350   
0601VDA0N       20170101001545100000005000 0000000000002355   
0601VDA0N       20170101001550100000005000 0000000000002359   
0601VDA0N       20170101001555100000005000 0000000000002363   
0601VDA0N       20170101001560100000005000 0000000000002367   
0601VDA0N       20170101001565100000005000 0000000000002372   
0601VDA0N       20170101001570100000005000 0000000000002376   
0601VDA0N       20170101001575100000005000 0000000000002379   
0601VDA0N       20170101001580100000005000 0000000000002386   
0601VDA0N       20170101001585100000005000 0000000000002389   
0601VDA0N       20170101001590100000005000 0000000000002393   
0601VDA0N       20170101001595100000005000 0000000000002399   
0601VDA0N       20170101001600100000005000 0000000000002402   
0601VDA0N       20170101001605100000005000 0000000000002406   
0601VDA0N       20170101001610100000005000 0000000000002411   
0601VDA0N       20170101001615100000005000 0000000000002414   
0601VDA0N       20170101001620100000005000 0000000000002418   
0601VDA0N       20170101001625100000005000 0000000000002424   
0601VDA0N       20170101001630100000005000 0000000000002427   
0601VDA0N       20170101001635100000005000 0000000000002429   
0601VDA0N       20170101001640100000005000 0000000000002435   
0601VDA0N       20170101001645100000005000 0000000000002439   
0601VDA0N       20170101001650100000005000 0000000000002442   
0601VDA0N       20170101001655100000005000 0000000000002447   
0601VDA0N       20170101001660100000005000 0000000000002450   
0601VDA0N       20170101001665100000005000 0000000000002454   
0601VDA0N       20170101001670100000005000 0000000000002459   
0601VDA0N       20170101001675100000005000 0000000000002462   
0601VDA0N       20170101001680100000005000 0000000000002465   
0601VDA0N       20170101001685100000005000 0000000000002470   
0601VDA0N       20170101001690100000005000 0000000000002474   
0601VDA0N       20170101001695100000005000 0000000000002476   
0601VDA0N       20170101001700100000005000 0000000000002482   
0601VDA0N       20170101001705100000005000 0000000000002484   
0601VDA0N       20170101001710100000005000 0000000000002487   
0601VDA0N       20170101001715100000005000 0000000000002492   
0601VDA0N       20170101001720100000005000 0000000000002495   
0601VDA0N       20170101001725100000005000 0000000000002499   
0601VDA0N       20170101001730100000005000 0000000000002503   
0601VDA0N       20170101001735100000005000 0000000000002506   
0601VDA0N       20170101001740100000005000 0000000000002509   
0601VDA0N       20170101001745100000005000 0000000000002514   
0601VDA0N       20170101001750100000005000 0000000000002517   
0601VDA0N       20170101001755100000005000 0000000000002519   
0601VDA0N       20170101001760100000005000 0000000000002524   
0601VDA0N       20170101001765100000005000 0000000000002528   
0601VDA0N       20170101001770100000005000 0000000000002531   
0601VDA0N       20170101001775100000005000 0000000000002537   
0601VDA0N       20170101001780100000005000 0000000000002539   
0601VDA0N       20170101001785100000005000 0000000000002543   
0601VDA0N       20170101001790100000005000 0000000000002548   
0601VDA0N       20170101001795100000005000 0000000000002551   
0601VDA0N       20170101001800100000005000 0000000000002555   
0601VDA0N       20170101001805100000005000 0000000000002560   
0601VDA0N       20170101001810100000005000 0000000000002562   
0601VDA0N       20170101001815100000005000 0000000000002566   
0601VDA0N       20170101001820100000005000 0000000000002571   
0601VDA0N       20170101001825100000005000 0000000000002575   
0601VDA0N       20170101001830100000005000 0000000000002577   
0601VDA0N       20170101001835100000005000 0000000000002583   
0601VDA0N       20170101001840100000005000 0000000000002586   
0601VDA0N       20170101001845100000005000 0000000000002590   
0601VDA0N       20170101001850100000005000 0000000000002595   
0601VDA0N       20170101001855100000005000 0000000000002599   
0601VDA0N       20170101001860100000005000 0000000000002601   
0601VDA0N       20170101001865100000005000 0000000000002606   
0601VDA0N       20170101001870100000005000 0000000000002610   
0601VDA0N       20170101001875100000005000 0000000000002613   
0601VDA0N       20170101001880100000005000 0000000000002618   
0601VDA0N       20170101001885100000005000 0000000000002621   
0601VDA0N       20170101001890100000005000 0000000000002624   
0601VDA0N       20170101001895100000005000 0000000000002629   
0601VDA0N       20170101001900100000005000 0000000000002632   
0601VDA0N       20170101001905100000005000 0000000000002635   
0601VDA0N       20170101001910100000005000 0000000000002640   
0601VDA0N       20170101001915100000005000 0000000000002644   
0601VDA0N       20170101001920100000005000 0000000000002646   
0601VDA0N       20170101001925100000005000 0000000000002651   
0601VDA0N       20170101001930100000005000 0000000000002655   
0601VDA0N       20170101001935100000005000 0000000000002657   
0601VDA0N       20170101001940100000005000 0000000000002662   
0601VDA0N       20170101001945100000005000 0000000000002664   
0601VDA0N       20170101001950100000005000 0000000000002668   
0601VDA0N       20170101001955100000005000 0000000000002673   
0601VDA0N       20170101001960100000005000 0000000000002675   
0601VDA0N       20170101001965100000005000 0000000000002679   
0601VDA0N       20170101001970100000005000 0000000000002682   
0601VDA0N       20170101001975100000005000 0000000000002686   
0601VDA0N       20170101001980100000005000 0000000000002688   
0601VDA0N       20170101001985100000005000 0000000000002693   
0601VDA0N       20170101001990100000005000 0000000000002696   
0601VDA0N       20170101001995100000005000 0000000000002699   
0601VDA0N       20170101002000100000050000 0000000000002716   
0601VDA0N       20170101002050100000050000 0000000000002748   
0601VDA0N       20170101002100100000050000 0000000000002781   
0601VDA0N       20170101002150100000050000 0000000000002811   
0601VDA0N       20170101002200100000050000 0000000000002841   
0601VDA0N       20170101002250100000050000 0000000000002869   
0601VDA0N       20170101002300100000050000 0000000000002897   
0601VDA0N       20170101002350100000050000 0000000000002923   
0601VDA0N       20170101002400100000050000 0000000000002949   
0601VDA0N       20170101002450100000050000 0000000000002977   
0601VDA0N       20170101002500100000050000 0000000000003001   
0601VDA0N       20170101002550100000050000 0000000000003025   
0601VDA0N       20170101002600100000050000 0000000000003049   
0601VDA0N       20170101002650100000050000 0000000000003072   
0601VDA0N       20170101002700100000050000 0000000000003094   
0601VDA0N       20170101002750100000050000 0000000000003117   
0601VDA0N       20170101002800100000050000 0000000000003139   
0601VDA0N       20170101002850100000050000 0000000000003159   
0601VDA0N       20170101002900100000050000 0000000000003181   
0601VDA0N       20170101002950100000050000 0000000000003199   
0601VDA0N       20170101003000100000050000 0000000000003218   
0601VDA0N       20170101003050100000050000 0000000000003236   
0601VDA0N       20170101003100100000050000 0000000000003255   
0601VDA0N       20170101003150100000050000 0000000000003272   
0601VDA0N       20170101003200100000050000 0000000000003288   
0601VDA0N       20170101003250100000050000 0000000000003306   
0601VDA0N       20170101003300100000050000 0000000000003320   
0601VDA0N       20170101003350100000050000 0000000000003335   
0601VDA0N       20170101003400100000050000 0000000000003351   
0601VDA0N       20170101003450100000050000 0000000000003365   
0601VDA0N       20170101003500100000050000 0000000000003378   
0601VDA0N       20170101003550100000050000 0000000000003392   
0601VDA0N       20170101003600100000050000 0000000000003406   
0601VDA0N       20170101003650100000050000 0000000000003418   
0601VDA0N       20170101003700100000050000 0000000000003430   
0601VDA0N       20170101003750100000050000 0000000000003443   
0601VDA0N       20170101003800100000050000 0000000000003454   
0601VDA0N       20170101003850100000050000 0000000000003466   
0601VDA0N       20170101003900100000050000 0000000000003477   
0601VDA0N       20170101003950100000050000 0000000000003488   
0601VDA0N       20170101004000100000050000 0000000000003499   
0601VDA0N       20170101004050100000050000 0000000000003510   
0601VDA0N       20170101004100100000050000 0000000000003519   
0601VDA0N       20170101004150100000050000 0000000000003530   
0601VDA0N       20170101004200100000050000 0000000000003539   
0601VDA0N       20170101004250100000050000 0000000000003548   
0601VDA0N       20170101004300100000050000 0000000000003558   
0601VDA0N       20170101004350100000050000 0000000000003567   
0601VDA0N       20170101004400100000050000 0000000000003576   
0601VDA0N       20170101004450100000050000 0000000000003584   
0601VDA0N       20170101004500100000050000 0000000000003593   
0601VDA0N       20170101004550100000050000 0000000000003601   
