00ZH               20131030                                                                                   
0601ZHA0N       20140101000000100000080000 0000000020000026   
0601ZHA0N       20140101000080100000005000 0000000020000024   
0601ZHA0N       20140101000085100000005000 0000000020000023   
0601ZHA0N       20140101000090100000005000 0000000020000022   
0601ZHA0N       20140101000095100000005000 0000000020000021   
0601ZHA0N       20140101000100100000005000 0000000020000020   
0601ZHA0N       20140101000105100000005000 0000000020000019   
0601ZHA0N       20140101000110100000005000 0000000020000018   
0601ZHA0N       20140101000115100000005000 0000000020000017   
0601ZHA0N       20140101000120100000005000 0000000020000016   
0601ZHA0N       20140101000125100000005000 0000000020000016   
0601ZHA0N       20140101000130100000005000 0000000020000015   
0601ZHA0N       20140101000135100000005000 0000000020000015   
0601ZHA0N       20140101000140100000005000 0000000020000014   
0601ZHA0N       20140101000145100000005000 0000000020000014   
0601ZHA0N       20140101000150100000005000 0000000020000013   
0601ZHA0N       20140101000155100000005000 0000000020000013   
0601ZHA0N       20140101000160100000005000 0000000030000018   
0601ZHA0N       20140101000165100000005000 0000000050000030   
0601ZHA0N       20140101000170100000005000 0000000070000041   
0601ZHA0N       20140101000175100000005000 0000000090000051   
0601ZHA0N       20140101000180100000005000 0000000100000055   
0601ZHA0N       20140101000185100000005000 0000000120000064   
0601ZHA0N       20140101000190100000005000 0000000140000073   
0601ZHA0N       20140101000195100000005000 0000000160000081   
0601ZHA0N       20140101000200100000005000 0000000170000084   
0601ZHA0N       20140101000205100000005000 0000000200000096   
0601ZHA0N       20140101000210100000005000 0000000220000104   
0601ZHA0N       20140101000215100000005000 0000000250000115   
0601ZHA0N       20140101000220100000005000 0000000280000126   
0601ZHA0N       20140101000225100000005000 0000000310000136   
0601ZHA0N       20140101000230100000005000 0000000330000142   
0601ZHA0N       20140101000235100000005000 0000000380000160   
0601ZHA0N       20140101000240100000005000 0000000410000169   
0601ZHA0N       20140101000245100000005000 0000000440000178   
0601ZHA0N       20140101000250100000005000 0000000470000186   
0601ZHA0N       20140101000255100000005000 0000000510000198   
0601ZHA0N       20140101000260100000005000 0000000550000210   
0601ZHA0N       20140101000265100000005000 0000000590000221   
0601ZHA0N       20140101000270100000005000 0000000630000231   
0601ZHA0N       20140101000275100000005000 0000000670000241   
0601ZHA0N       20140101000280100000005000 0000000710000251   
0601ZHA0N       20140101000285100000005000 0000000740000257   
0601ZHA0N       20140101000290100000005000 0000000780000267   
0601ZHA0N       20140101000295100000005000 0000000830000279   
0601ZHA0N       20140101000300100000005000 0000000860000284   
0601ZHA0N       20140101000305100000005000 0000000900000293   
0601ZHA0N       20140101000310100000005000 0000000940000301   
0601ZHA0N       20140101000315100000005000 0000000980000309   
0601ZHA0N       20140101000320100000005000 0000001020000316   
0601ZHA0N       20140101000325100000005000 0000001060000324   
0601ZHA0N       20140101000330100000005000 0000001110000334   
0601ZHA0N       20140101000335100000005000 0000001160000344   
0601ZHA0N       20140101000340100000005000 0000001210000353   
0601ZHA0N       20140101000345100000005000 0000001260000363   
0601ZHA0N       20140101000350100000005000 0000001300000369   
0601ZHA0N       20140101000355100000005000 0000001350000378   
0601ZHA0N       20140101000360100000005000 0000001400000386   
0601ZHA0N       20140101000365100000005000 0000001440000392   
0601ZHA0N       20140101000370100000005000 0000001490000400   
0601ZHA0N       20140101000375100000005000 0000001550000411   
0601ZHA0N       20140101000380100000005000 0000001590000416   
0601ZHA0N       20140101000385100000005000 0000001640000423   
0601ZHA0N       20140101000390100000005000 0000001690000431   
0601ZHA0N       20140101000395100000005000 0000001740000438   
0601ZHA0N       20140101000400100000005000 0000001780000442   
0601ZHA0N       20140101000405100000005000 0000001830000449   
0601ZHA0N       20140101000410100000005000 0000001880000456   
0601ZHA0N       20140101000415100000005000 0000001940000465   
0601ZHA0N       20140101000420100000005000 0000001990000471   
0601ZHA0N       20140101000425100000005000 0000002050000480   
0601ZHA0N       20140101000430100000005000 0000002100000486   
0601ZHA0N       20140101000435100000005000 0000002160000494   
0601ZHA0N       20140101000440100000005000 0000002220000502   
0601ZHA0N       20140101000445100000005000 0000002270000507   
0601ZHA0N       20140101000450100000005000 0000002330000515   
0601ZHA0N       20140101000455100000005000 0000002400000525   
0601ZHA0N       20140101000460100000005000 0000002450000530   
0601ZHA0N       20140101000465100000005000 0000002510000537   
0601ZHA0N       20140101000470100000005000 0000002570000544   
0601ZHA0N       20140101000475100000005000 0000002630000551   
0601ZHA0N       20140101000480100000005000 0000002690000558   
0601ZHA0N       20140101000485100000005000 0000002760000566   
0601ZHA0N       20140101000490100000005000 0000002830000575   
0601ZHA0N       20140101000495100000005000 0000002900000583   
0601ZHA0N       20140101000500100000005000 0000002960000589   
0601ZHA0N       20140101000505100000005000 0000003020000595   
0601ZHA0N       20140101000510100000005000 0000003090000603   
0601ZHA0N       20140101000515100000005000 0000003150000609   
0601ZHA0N       20140101000520100000005000 0000003220000616   
0601ZHA0N       20140101000525100000005000 0000003290000624   
