00LU               20141215                                                                                   
0601LUA0Y       20150101000000100000120000 0000000040000033   
0601LUA0Y       20150101000120100000005000 0000000040000033   
0601LUA0Y       20150101000125100000005000 0000000040000031   
0601LUA0Y       20150101000130100000005000 0000000040000030   
0601LUA0Y       20150101000135100000005000 0000000040000029   
0601LUA0Y       20150101000140100000005000 0000000040000028   
0601LUA0Y       20150101000145100000005000 0000000040000027   
0601LUA0Y       20150101000150100000005000 0000000040000026   
0601LUA0Y       20150101000155100000005000 0000000050000032   
0601LUA0Y       20150101000160100000005000 0000000060000037   
0601LUA0Y       20150101000165100000005000 0000000070000042   
0601LUA0Y       20150101000170100000005000 0000000070000041   
0601LUA0Y       20150101000175100000005000 0000000080000045   
0601LUA0Y       20150101000180100000005000 0000000100000055   
0601LUA0Y       20150101000185100000005000 0000000120000064   
0601LUA0Y       20150101000190100000005000 0000000130000068   
0601LUA0Y       20150101000195100000005000 0000000150000076   
0601LUA0Y       20150101000200100000005000 0000000160000079   
0601LUA0Y       20150101000205100000005000 0000000190000092   
0601LUA0Y       20150101000210100000005000 0000000220000104   
0601LUA0Y       20150101000215100000005000 0000000260000120   
0601LUA0Y       20150101000220100000005000 0000000310000139   
0601LUA0Y       20150101000225100000005000 0000000380000167   
0601LUA0Y       20150101000230100000005000 0000000440000189   
0601LUA0Y       20150101000235100000005000 0000000510000215   
0601LUA0Y       20150101000240100000005000 0000000580000239   
0601LUA0Y       20150101000245100000005000 0000000640000259   
0601LUA0Y       20150101000250100000005000 0000000710000281   
0601LUA0Y       20150101000255100000005000 0000000790000307   
0601LUA0Y       20150101000260100000005000 0000000860000328   
0601LUA0Y       20150101000265100000005000 0000000930000348   
0601LUA0Y       20150101000270100000005000 0000001010000371   
0601LUA0Y       20150101000275100000005000 0000001080000389   
0601LUA0Y       20150101000280100000005000 0000001160000411   
0601LUA0Y       20150101000285100000005000 0000001230000428   
0601LUA0Y       20150101000290100000005000 0000001310000448   
0601LUA0Y       20150101000295100000005000 0000001390000467   
0601LUA0Y       20150101000300100000005000 0000001470000486   
0601LUA0Y       20150101000305100000005000 0000001550000504   
0601LUA0Y       20150101000310100000005000 0000001640000525   
0601LUA0Y       20150101000315100000005000 0000001720000542   
0601LUA0Y       20150101000320100000005000 0000001800000558   
0601LUA0Y       20150101000325100000005000 0000001880000574   
0601LUA0Y       20150101000330100000005000 0000001970000592   
0601LUA0Y       20150101000335100000005000 0000002050000607   
0601LUA0Y       20150101000340100000005000 0000002150000628   
0601LUA0Y       20150101000345100000005000 0000002230000642   
0601LUA0Y       20150101000350100000005000 0000002320000658   
0601LUA0Y       20150101000355100000005000 0000002400000671   
0601LUA0Y       20150101000360100000005000 0000002480000684   
0601LUA0Y       20150101000365100000005000 0000002560000697   
0601LUA0Y       20150101000370100000005000 0000002650000711   
0601LUA0Y       20150101000375100000005000 0000002730000723   
0601LUA0Y       20150101000380100000005000 0000002810000735   
0601LUA0Y       20150101000385100000005000 0000002900000748   
0601LUA0Y       20150101000390100000005000 0000002980000759   
0601LUA0Y       20150101000395100000005000 0000003060000770   
0601LUA0Y       20150101000400100000005000 0000003150000783   
0601LUA0Y       20150101000405100000005000 0000003230000793   
0601LUA0Y       20150101000410100000005000 0000003310000802   
0601LUA0Y       20150101000415100000005000 0000003400000814   
0601LUA0Y       20150101000420100000005000 0000003480000824   
0601LUA0Y       20150101000425100000005000 0000003560000833   
0601LUA0Y       20150101000430100000005000 0000003640000842   
0601LUA0Y       20150101000435100000005000 0000003730000853   
0601LUA0Y       20150101000440100000005000 0000003810000861   
0601LUA0Y       20150101000445100000005000 0000003890000869   
0601LUA0Y       20150101000450100000005000 0000003980000880   
0601LUA0Y       20150101000455100000005000 0000004060000887   
0601LUA0Y       20150101000460100000005000 0000004140000895   
0601LUA0Y       20150101000465100000005000 0000004230000905   
0601LUA0Y       20150101000470100000005000 0000004320000914   
0601LUA0Y       20150101000475100000005000 0000004420000926   
0601LUA0Y       20150101000480100000005000 0000004510000935   
0601LUA0Y       20150101000485100000005000 0000004600000944   
0601LUA0Y       20150101000490100000005000 0000004690000952   
0601LUA0Y       20150101000495100000005000 0000004790000963   
0601LUA0Y       20150101000500100000005000 0000004880000971   
0601LUA0Y       20150101000505100000005000 0000004970000979   
0601LUA0Y       20150101000510100000005000 0000005060000987   
0601LUA0Y       20150101000515100000005000 0000005150000995   
0601LUA0Y       20150101000520100000005000 0000005240001003   
0601LUA0Y       20150101000525100000005000 0000005330001010   
0601LUA0Y       20150101000530100000005000 0000005420001018   
0601LUA0Y       20150101000535100000005000 0000005510001025   
0601LUA0Y       20150101000540100000005000 0000005610001034   
0601LUA0Y       20150101000545100000005000 0000005700001041   
0601LUA0Y       20150101000550100000005000 0000005790001048   
0601LUA0Y       20150101000555100000005000 0000005880001055   
0601LUA0Y       20150101000560100000005000 0000005970001061   
0601LUA0Y       20150101000565100000005000 0000006060001068   
0601LUA0Y       20150101000570100000005000 0000006150001074   
0601LUA0Y       20150101000575100000005000 0000006220001077   
0601LUA0Y       20150101000580100000005000 0000006310001083   
0601LUA0Y       20150101000585100000005000 0000006410001091   
0601LUA0Y       20150101000590100000005000 0000006500001097   
0601LUA0Y       20150101000595100000005000 0000006590001103   
0601LUA0Y       20150101000600100000005000 0000006680001109   
0601LUA0Y       20150101000605100000005000 0000006770001114   
0601LUA0Y       20150101000610100000005000 0000006850001118   
0601LUA0Y       20150101000615100000005000 0000006940001124   
0601LUA0Y       20150101000620100000005000 0000007030001129   
0601LUA0Y       20150101000625100000005000 0000007120001135   
0601LUA0Y       20150101000630100000005000 0000007210001140   
0601LUA0Y       20150101000635100000005000 0000007310001147   
0601LUA0Y       20150101000640100000005000 0000007400001152   
0601LUA0Y       20150101000645100000005000 0000007470001154   
0601LUA0Y       20150101000650100000005000 0000007570001160   
0601LUA0Y       20150101000655100000005000 0000007660001165   
0601LUA0Y       20150101000660100000005000 0000007750001170   
0601LUA0Y       20150101000665100000005000 0000007840001175   
0601LUA0Y       20150101000670100000005000 0000007930001179   
0601LUA0Y       20150101000675100000005000 0000008030001185   
0601LUA0Y       20150101000680100000005000 0000008100001187   
0601LUA0Y       20150101000685100000005000 0000008190001191   
0601LUA0Y       20150101000690100000005000 0000008290001197   
0601LUA0Y       20150101000695100000005000 0000008380001201   
0601LUA0Y       20150101000700100000005000 0000008470001206   
0601LUA0Y       20150101000705100000005000 0000008560001210   
0601LUA0Y       20150101000710100000005000 0000008650001214   
0601LUA0Y       20150101000715100000005000 0000008750001220   
0601LUA0Y       20150101000720100000005000 0000008840001224   
0601LUA0Y       20150101000725100000005000 0000008930001227   
0601LUA0Y       20150101000730100000005000 0000009020001231   
0601LUA0Y       20150101000735100000005000 0000009110001235   
0601LUA0Y       20150101000740100000005000 0000009210001240   
0601LUA0Y       20150101000745100000005000 0000009320001247   
0601LUA0Y       20150101000750100000005000 0000009410001250   
0601LUA0Y       20150101000755100000005000 0000009500001254   
0601LUA0Y       20150101000760100000005000 0000009590001258   
0601LUA0Y       20150101000765100000005000 0000009680001261   
0601LUA0Y       20150101000770100000005000 0000009780001266   
0601LUA0Y       20150101000775100000005000 0000009870001269   
0601LUA0Y       20150101000780100000005000 0000009980001275   
0601LUA0Y       20150101000785100000005000 0000010080001280   
0601LUA0Y       20150101000790100000005000 0000010180001285   
0601LUA0Y       20150101000795100000005000 0000010290001290   
0601LUA0Y       20150101000800100000005000 0000010390001295   
0601LUA0Y       20150101000805100000005000 0000010500001300   
0601LUA0Y       20150101000810100000005000 0000010600001305   
0601LUA0Y       20150101000815100000005000 0000010710001310   
0601LUA0Y       20150101000820100000005000 0000010810001314   
0601LUA0Y       20150101000825100000005000 0000010920001320   
0601LUA0Y       20150101000830100000005000 0000011020001324   
0601LUA0Y       20150101000835100000005000 0000011130001329   
0601LUA0Y       20150101000840100000005000 0000011230001333   
0601LUA0Y       20150101000845100000005000 0000011340001338   
0601LUA0Y       20150101000850100000005000 0000011450001343   
0601LUA0Y       20150101000855100000005000 0000011560001348   
0601LUA0Y       20150101000860100000005000 0000011660001352   
0601LUA0Y       20150101000865100000005000 0000011770001357   
0601LUA0Y       20150101000870100000005000 0000011880001362   
0601LUA0Y       20150101000875100000005000 0000011980001365   
0601LUA0Y       20150101000880100000005000 0000012110001372   
0601LUA0Y       20150101000885100000005000 0000012220001377   
0601LUA0Y       20150101000890100000005000 0000012330001382   
0601LUA0Y       20150101000895100000005000 0000012430001385   
0601LUA0Y       20150101000900100000005000 0000012540001389   
0601LUA0Y       20150101000905100000005000 0000012650001394   
0601LUA0Y       20150101000910100000005000 0000012750001397   
0601LUA0Y       20150101000915100000005000 0000012860001402   
0601LUA0Y       20150101000920100000005000 0000012970001406   
0601LUA0Y       20150101000925100000005000 0000013080001410   
0601LUA0Y       20150101000930100000005000 0000013180001413   
0601LUA0Y       20150101000935100000005000 0000013290001418   
0601LUA0Y       20150101000940100000005000 0000013400001422   
0601LUA0Y       20150101000945100000005000 0000013500001425   
0601LUA0Y       20150101000950100000005000 0000013610001429   
0601LUA0Y       20150101000955100000005000 0000013720001433   
0601LUA0Y       20150101000960100000005000 0000013820001436   
0601LUA0Y       20150101000965100000005000 0000013930001440   
0601LUA0Y       20150101000970100000005000 0000014040001444   
0601LUA0Y       20150101000975100000005000 0000014150001448   
0601LUA0Y       20150101000980100000005000 0000014250001450   
0601LUA0Y       20150101000985100000005000 0000014360001454   
0601LUA0Y       20150101000990100000005000 0000014470001458   
0601LUA0Y       20150101000995100000005000 0000014570001461   
0601LUA0Y       20150101001000100000005000 0000014680001464   
0601LUA0Y       20150101001005100000005000 0000014790001468   
0601LUA0Y       20150101001010100000005000 0000014900001472   
0601LUA0Y       20150101001015100000005000 0000015020001476   
0601LUA0Y       20150101001020100000005000 0000015130001480   
0601LUA0Y       20150101001025100000005000 0000015240001483   
0601LUA0Y       20150101001030100000005000 0000015340001486   
0601LUA0Y       20150101001035100000005000 0000015450001489   
0601LUA0Y       20150101001040100000005000 0000015560001493   
0601LUA0Y       20150101001045100000005000 0000015670001496   
0601LUA0Y       20150101001050100000005000 0000015770001498   
0601LUA0Y       20150101001055100000005000 0000015880001502   
0601LUA0Y       20150101001060100000005000 0000015990001505   
0601LUA0Y       20150101001065100000005000 0000016090001507   
0601LUA0Y       20150101001070100000005000 0000016200001510   
0601LUA0Y       20150101001075100000005000 0000016330001516   
0601LUA0Y       20150101001080100000005000 0000016440001519   
0601LUA0Y       20150101001085100000005000 0000016550001522   
0601LUA0Y       20150101001090100000005000 0000016670001526   
0601LUA0Y       20150101001095100000005000 0000016780001529   
0601LUA0Y       20150101001100100000005000 0000016900001533   
0601LUA0Y       20150101001105100000005000 0000017050001540   
0601LUA0Y       20150101001110100000005000 0000017170001543   
0601LUA0Y       20150101001115100000005000 0000017290001547   
0601LUA0Y       20150101001120100000005000 0000017410001551   
0601LUA0Y       20150101001125100000005000 0000017550001557   
0601LUA0Y       20150101001130100000005000 0000017670001560   
0601LUA0Y       20150101001135100000005000 0000017790001564   
0601LUA0Y       20150101001140100000005000 0000017940001570   
0601LUA0Y       20150101001145100000005000 0000018060001574   
0601LUA0Y       20150101001150100000005000 0000018180001577   
0601LUA0Y       20150101001155100000005000 0000018320001583   
0601LUA0Y       20150101001160100000005000 0000018440001586   
0601LUA0Y       20150101001165100000005000 0000018560001590   
0601LUA0Y       20150101001170100000005000 0000018710001596   
0601LUA0Y       20150101001175100000005000 0000018830001599   
0601LUA0Y       20150101001180100000005000 0000018950001603   
0601LUA0Y       20150101001185100000005000 0000019090001608   
0601LUA0Y       20150101001190100000005000 0000019210001611   
0601LUA0Y       20150101001195100000005000 0000019330001614   
0601LUA0Y       20150101001200100000005000 0000019480001620   
0601LUA0Y       20150101001205100000005000 0000019600001623   
0601LUA0Y       20150101001210100000005000 0000019720001626   
0601LUA0Y       20150101001215100000005000 0000019860001631   
0601LUA0Y       20150101001220100000005000 0000019980001634   
0601LUA0Y       20150101001225100000005000 0000020100001637   
0601LUA0Y       20150101001230100000005000 0000020250001643   
0601LUA0Y       20150101001235100000005000 0000020370001646   
0601LUA0Y       20150101001240100000005000 0000020490001649   
