00BS               20151102                                                                                   
0601BSA0N       20160101000000100000110000 0000000000000000   
0601BSA0N       20160101000110100000010000 0000000000000000   
0601BSA0N       20160101000120100000010000 0000000000000000   
0601BSA0N       20160101000130100000010000 0000000000000000   
0601BSA0N       20160101000140100000010000 0000000000000000   
0601BSA0N       20160101000150100000010000 0000000000000000   
0601BSA0N       20160101000160100000010000 0000000000000000   
0601BSA0N       20160101000170100000010000 0000000000000000   
0601BSA0N       20160101000180100000010000 0000000000000000   
0601BSA0N       20160101000190100000010000 0000000000000000   
0601BSA0N       20160101000200100000010000 0000000000000001   
0601BSA0N       20160101000210100000010000 0000000000000004   
0601BSA0N       20160101000220100000010000 0000000000000006   
0601BSA0N       20160101000230100000010000 0000000000000048   
0601BSA0N       20160101000240100000010000 0000000000000125   
0601BSA0N       20160101000250100000010000 0000000000000202   
0601BSA0N       20160101000260100000010000 0000000000000267   
0601BSA0N       20160101000270100000010000 0000000000000334   
0601BSA0N       20160101000280100000010000 0000000000000390   
0601BSA0N       20160101000290100000010000 0000000000000441   
0601BSA0N       20160101000300100000010000 0000000000000496   
0601BSA0N       20160101000310100000010000 0000000000000541   
0601BSA0N       20160101000320100000010000 0000000000000589   
0601BSA0N       20160101000330100000010000 0000000000000629   
0601BSA0N       20160101000340100000010000 0000000000000672   
0601BSA0N       20160101000350100000010000 0000000000000707   
0601BSA0N       20160101000360100000010000 0000000000000740   
0601BSA0N       20160101000370100000010000 0000000000000776   
0601BSA0N       20160101000380100000010000 0000000000000806   
0601BSA0N       20160101000390100000010000 0000000000000839   
0601BSA0N       20160101000400100000010000 0000000000000866   
0601BSA0N       20160101000410100000010000 0000000000000896   
0601BSA0N       20160101000420100000010000 0000000000000921   
0601BSA0N       20160101000430100000010000 0000000000000948   
0601BSA0N       20160101000440100000010000 0000000000000970   
0601BSA0N       20160101000450100000010000 0000000000000991   
0601BSA0N       20160101000460100000010000 0000000000001015   
0601BSA0N       20160101000470100000010000 0000000000001036   
0601BSA0N       20160101000480100000010000 0000000000001062   
0601BSA0N       20160101000490100000010000 0000000000001082   
0601BSA0N       20160101000500100000010000 0000000000001106   
0601BSA0N       20160101000510100000010000 0000000000001125   
0601BSA0N       20160101000520100000010000 0000000000001143   
0601BSA0N       20160101000530100000010000 0000000000001164   
0601BSA0N       20160101000540100000010000 0000000000001181   
0601BSA0N       20160101000550100000010000 0000000000001201   
0601BSA0N       20160101000560100000010000 0000000000001216   
0601BSA0N       20160101000570100000010000 0000000000001234   
0601BSA0N       20160101000580100000010000 0000000000001249   
0601BSA0N       20160101000590100000010000 0000000000001266   
0601BSA0N       20160101000600100000010000 0000000000001279   
0601BSA0N       20160101000610100000010000 0000000000001292   
0601BSA0N       20160101000620100000010000 0000000000001308   
0601BSA0N       20160101000630100000010000 0000000000001321   
0601BSA0N       20160101000640100000010000 0000000000001336   
0601BSA0N       20160101000650100000010000 0000000000001348   
0601BSA0N       20160101000660100000010000 0000000000001362   
0601BSA0N       20160101000670100000010000 0000000000001373   
0601BSA0N       20160101000680100000010000 0000000000001383   
0601BSA0N       20160101000690100000010000 0000000000001396   
0601BSA0N       20160101000700100000010000 0000000000001406   
0601BSA0N       20160101000710100000010000 0000000000001419   
0601BSA0N       20160101000720100000010000 0000000000001428   
0601BSA0N       20160101000730100000010000 0000000000001440   
0601BSA0N       20160101000740100000010000 0000000000001449   
0601BSA0N       20160101000750100000010000 0000000000001457   
0601BSA0N       20160101000760100000010000 0000000000001468   
0601BSA0N       20160101000770100000010000 0000000000001476   
0601BSA0N       20160101000780100000010000 0000000000001490   
0601BSA0N       20160101000790100000010000 0000000000001501   
0601BSA0N       20160101000800100000010000 0000000000001514   
0601BSA0N       20160101000810100000010000 0000000000001524   
0601BSA0N       20160101000820100000010000 0000000000001536   
0601BSA0N       20160101000830100000010000 0000000000001546   
0601BSA0N       20160101000840100000010000 0000000000001557   
0601BSA0N       20160101000850100000010000 0000000000001569   
0601BSA0N       20160101000860100000010000 0000000000001578   
0601BSA0N       20160101000870100000010000 0000000000001590   
0601BSA0N       20160101000880100000010000 0000000000001599   
0601BSA0N       20160101000890100000010000 0000000000001610   
0601BSA0N       20160101000900100000010000 0000000000001619   
0601BSA0N       20160101000910100000010000 0000000000001628   
0601BSA0N       20160101000920100000010000 0000000000001638   
0601BSA0N       20160101000930100000010000 0000000000001647   
0601BSA0N       20160101000940100000010000 0000000000001657   
0601BSA0N       20160101000950100000010000 0000000000001664   
0601BSA0N       20160101000960100000010000 0000000000001674   
0601BSA0N       20160101000970100000010000 0000000000001682   
0601BSA0N       20160101000980100000010000 0000000000001691   
0601BSA0N       20160101000990100000010000 0000000000001698   
0601BSA0N       20160101001000100000050000 0000000000001720   
0601BSA0N       20160101001050100000050000 0000000000001756   
0601BSA0N       20160101001100100000050000 0000000000001797   
0601BSA0N       20160101001150100000050000 0000000000001835   
0601BSA0N       20160101001200100000050000 0000000000001870   
