00OW               20161205                                                                                   
0601OWA0N       20170101000000100000040000 0000000030000000   
0601OWA0N       20170101000040100000005000 0000000030000071   
0601OWA0N       20170101000045100000005000 0000000030000063   
0601OWA0N       20170101000050100000005000 0000000030000057   
0601OWA0N       20170101000055100000005000 0000000030000052   
0601OWA0N       20170101000060100000005000 0000000030000048   
0601OWA0N       20170101000065100000005000 0000000030000044   
0601OWA0N       20170101000070100000005000 0000000030000041   
0601OWA0N       20170101000075100000005000 0000000030000039   
0601OWA0N       20170101000080100000005000 0000000030000036   
0601OWA0N       20170101000085100000005000 0000000030000034   
0601OWA0N       20170101000090100000005000 0000000030000032   
0601OWA0N       20170101000095100000005000 0000000030000031   
0601OWA0N       20170101000100100000005000 0000000030000029   
0601OWA0N       20170101000105100000005000 0000000030000028   
0601OWA0N       20170101000110100000005000 0000000030000027   
0601OWA0N       20170101000115100000005000 0000000030000026   
0601OWA0N       20170101000120100000005000 0000000030000024   
0601OWA0N       20170101000125100000005000 0000000030000024   
0601OWA0N       20170101000130100000005000 0000000030000023   
0601OWA0N       20170101000135100000005000 0000000030000022   
0601OWA0N       20170101000140100000005000 0000000030000021   
0601OWA0N       20170101000145100000005000 0000000030000020   
0601OWA0N       20170101000150100000005000 0000000030000020   
0601OWA0N       20170101000155100000005000 0000000030000019   
0601OWA0N       20170101000160100000005000 0000000030000018   
0601OWA0N       20170101000165100000005000 0000000030000018   
0601OWA0N       20170101000170100000005000 0000000030000017   
0601OWA0N       20170101000175100000005000 0000000030000017   
0601OWA0N       20170101000180100000005000 0000000030000016   
0601OWA0N       20170101000185100000005000 0000000030000016   
0601OWA0N       20170101000190100000005000 0000000030000016   
0601OWA0N       20170101000195100000005000 0000000030000015   
0601OWA0N       20170101000200100000005000 0000000040000020   
0601OWA0N       20170101000205100000005000 0000000110000053   
0601OWA0N       20170101000210100000005000 0000000170000080   
0601OWA0N       20170101000215100000005000 0000000230000106   
0601OWA0N       20170101000220100000005000 0000000290000130   
0601OWA0N       20170101000225100000005000 0000000360000158   
0601OWA0N       20170101000230100000005000 0000000420000181   
0601OWA0N       20170101000235100000005000 0000000490000206   
0601OWA0N       20170101000240100000005000 0000000550000227   
0601OWA0N       20170101000245100000005000 0000000610000246   
0601OWA0N       20170101000250100000005000 0000000670000265   
0601OWA0N       20170101000255100000005000 0000000730000283   
0601OWA0N       20170101000260100000005000 0000000790000301   
0601OWA0N       20170101000265100000005000 0000000870000325   
0601OWA0N       20170101000270100000005000 0000000930000341   
0601OWA0N       20170101000275100000005000 0000000990000357   
0601OWA0N       20170101000280100000005000 0000001050000372   
0601OWA0N       20170101000285100000005000 0000001110000386   
0601OWA0N       20170101000290100000005000 0000001170000400   
0601OWA0N       20170101000295100000005000 0000001240000417   
0601OWA0N       20170101000300100000005000 0000001300000430   
0601OWA0N       20170101000305100000005000 0000001360000442   
0601OWA0N       20170101000310100000005000 0000001420000454   
0601OWA0N       20170101000315100000005000 0000001480000466   
0601OWA0N       20170101000320100000005000 0000001540000478   
0601OWA0N       20170101000325100000005000 0000001620000495   
0601OWA0N       20170101000330100000005000 0000001680000505   
0601OWA0N       20170101000335100000005000 0000001740000516   
0601OWA0N       20170101000340100000005000 0000001800000526   
0601OWA0N       20170101000345100000005000 0000001860000535   
0601OWA0N       20170101000350100000005000 0000001920000545   
0601OWA0N       20170101000355100000005000 0000001990000557   
0601OWA0N       20170101000360100000005000 0000002050000566   
0601OWA0N       20170101000365100000005000 0000002110000574   
0601OWA0N       20170101000370100000005000 0000002180000585   
0601OWA0N       20170101000375100000005000 0000002240000593   
0601OWA0N       20170101000380100000005000 0000002300000601   
0601OWA0N       20170101000385100000005000 0000002370000612   
0601OWA0N       20170101000390100000005000 0000002430000619   
0601OWA0N       20170101000395100000005000 0000002490000626   
0601OWA0N       20170101000400100000005000 0000002550000634   
0601OWA0N       20170101000405100000005000 0000002610000640   
0601OWA0N       20170101000410100000005000 0000002680000650   
0601OWA0N       20170101000415100000005000 0000002750000659   
0601OWA0N       20170101000420100000005000 0000002810000665   
0601OWA0N       20170101000425100000005000 0000002870000671   
0601OWA0N       20170101000430100000005000 0000002930000677   
0601OWA0N       20170101000435100000005000 0000003000000686   
0601OWA0N       20170101000440100000005000 0000003080000696   
0601OWA0N       20170101000445100000005000 0000003150000704   
0601OWA0N       20170101000450100000005000 0000003210000709   
0601OWA0N       20170101000455100000005000 0000003280000717   
0601OWA0N       20170101000460100000005000 0000003360000726   
0601OWA0N       20170101000465100000005000 0000003430000734   
0601OWA0N       20170101000470100000005000 0000003490000739   
0601OWA0N       20170101000475100000005000 0000003570000748   
0601OWA0N       20170101000480100000005000 0000003650000756   
0601OWA0N       20170101000485100000005000 0000003720000763   
0601OWA0N       20170101000490100000005000 0000003800000772   
0601OWA0N       20170101000495100000005000 0000003880000780   
0601OWA0N       20170101000500100000005000 0000003960000788   
0601OWA0N       20170101000505100000005000 0000004030000794   
0601OWA0N       20170101000510100000005000 0000004110000802   
0601OWA0N       20170101000515100000005000 0000004190000810   
0601OWA0N       20170101000520100000005000 0000004270000817   
0601OWA0N       20170101000525100000005000 0000004340000823   
0601OWA0N       20170101000530100000005000 0000004420000830   
0601OWA0N       20170101000535100000005000 0000004500000837   
0601OWA0N       20170101000540100000005000 0000004580000844   
0601OWA0N       20170101000545100000005000 0000004650000849   
0601OWA0N       20170101000550100000005000 0000004730000856   
0601OWA0N       20170101000555100000005000 0000004800000861   
0601OWA0N       20170101000560100000005000 0000004880000868   
0601OWA0N       20170101000565100000005000 0000004950000872   
0601OWA0N       20170101000570100000005000 0000005030000879   
0601OWA0N       20170101000575100000005000 0000005100000883   
0601OWA0N       20170101000580100000005000 0000005170000888   
0601OWA0N       20170101000585100000005000 0000005250000894   
0601OWA0N       20170101000590100000005000 0000005320000898   
0601OWA0N       20170101000595100000005000 0000005380000900   
0601OWA0N       20170101000600100000005000 0000005450000905   
0601OWA0N       20170101000605100000005000 0000005530000910   
0601OWA0N       20170101000610100000005000 0000005600000914   
0601OWA0N       20170101000615100000005000 0000005670000918   
0601OWA0N       20170101000620100000005000 0000005740000922   
0601OWA0N       20170101000625100000005000 0000005810000926   
0601OWA0N       20170101000630100000005000 0000005890000931   
0601OWA0N       20170101000635100000005000 0000005960000935   
0601OWA0N       20170101000640100000005000 0000006030000939   
0601OWA0N       20170101000645100000005000 0000006100000942   
0601OWA0N       20170101000650100000005000 0000006180000947   
0601OWA0N       20170101000655100000005000 0000006250000951   
0601OWA0N       20170101000660100000005000 0000006320000954   
0601OWA0N       20170101000665100000005000 0000006390000957   
0601OWA0N       20170101000670100000005000 0000006460000961   
0601OWA0N       20170101000675100000005000 0000006540000965   
0601OWA0N       20170101000680100000005000 0000006610000968   
0601OWA0N       20170101000685100000005000 0000006670000970   
0601OWA0N       20170101000690100000005000 0000006740000973   
0601OWA0N       20170101000695100000005000 0000006810000976   
0601OWA0N       20170101000700100000005000 0000006890000981   
0601OWA0N       20170101000705100000005000 0000006960000984   
0601OWA0N       20170101000710100000005000 0000007030000987   
0601OWA0N       20170101000715100000005000 0000007100000990   
0601OWA0N       20170101000720100000005000 0000007180000994   
0601OWA0N       20170101000725100000005000 0000007250000997   
0601OWA0N       20170101000730100000005000 0000007320000999   
0601OWA0N       20170101000735100000005000 0000007390001002   
0601OWA0N       20170101000740100000005000 0000007460001005   
0601OWA0N       20170101000745100000005000 0000007540001009   
0601OWA0N       20170101000750100000005000 0000007610001011   
0601OWA0N       20170101000755100000005000 0000007680001014   
0601OWA0N       20170101000760100000005000 0000007750001016   
0601OWA0N       20170101000765100000005000 0000007830001020   
0601OWA0N       20170101000770100000005000 0000007900001023   
0601OWA0N       20170101000775100000005000 0000007970001025   
0601OWA0N       20170101000780100000005000 0000008050001029   
0601OWA0N       20170101000785100000005000 0000008130001032   
0601OWA0N       20170101000790100000005000 0000008230001038   
0601OWA0N       20170101000795100000005000 0000008310001042   
0601OWA0N       20170101000800100000005000 0000008390001045   
0601OWA0N       20170101000805100000005000 0000008470001049   
0601OWA0N       20170101000810100000005000 0000008560001054   
0601OWA0N       20170101000815100000005000 0000008640001057   
0601OWA0N       20170101000820100000005000 0000008720001060   
0601OWA0N       20170101000825100000005000 0000008800001063   
0601OWA0N       20170101000830100000005000 0000008880001067   
0601OWA0N       20170101000835100000005000 0000008980001072   
0601OWA0N       20170101000840100000005000 0000009060001075   
0601OWA0N       20170101000845100000005000 0000009150001080   
0601OWA0N       20170101000850100000005000 0000009230001083   
0601OWA0N       20170101000855100000005000 0000009320001087   
0601OWA0N       20170101000860100000005000 0000009410001091   
0601OWA0N       20170101000865100000005000 0000009500001095   
0601OWA0N       20170101000870100000005000 0000009580001098   
0601OWA0N       20170101000875100000005000 0000009660001101   
0601OWA0N       20170101000880100000005000 0000009760001106   
0601OWA0N       20170101000885100000005000 0000009840001109   
0601OWA0N       20170101000890100000005000 0000009920001111   
0601OWA0N       20170101000895100000005000 0000010010001115   
0601OWA0N       20170101000900100000005000 0000010090001118   
0601OWA0N       20170101000905100000005000 0000010190001123   
0601OWA0N       20170101000910100000005000 0000010270001125   
0601OWA0N       20170101000915100000005000 0000010350001128   
0601OWA0N       20170101000920100000005000 0000010440001132   
0601OWA0N       20170101000925100000005000 0000010530001135   
0601OWA0N       20170101000930100000005000 0000010610001138   
0601OWA0N       20170101000935100000005000 0000010700001141   
0601OWA0N       20170101000940100000005000 0000010780001144   
0601OWA0N       20170101000945100000005000 0000010860001146   
0601OWA0N       20170101000950100000005000 0000010960001151   
