00AR               20171221                                                                                   
0601ARA0N       20180101000000100000115000 0000000030000026   
0601ARA0N       20180101000115100000005000 0000000030000026   
0601ARA0N       20180101000120100000005000 0000000030000024   
0601ARA0N       20180101000125100000005000 0000000030000024   
0601ARA0N       20180101000130100000005000 0000000030000023   
0601ARA0N       20180101000135100000005000 0000000030000022   
0601ARA0N       20180101000140100000005000 0000000030000021   
0601ARA0N       20180101000145100000005000 0000000030000020   
0601ARA0N       20180101000150100000005000 0000000040000025   
0601ARA0N       20180101000155100000005000 0000000060000036   
0601ARA0N       20180101000160100000005000 0000000090000054   
0601ARA0N       20180101000165100000005000 0000000120000071   
0601ARA0N       20180101000170100000005000 0000000150000087   
0601ARA0N       20180101000175100000005000 0000000200000110   
0601ARA0N       20180101000180100000005000 0000000240000133   
0601ARA0N       20180101000185100000005000 0000000290000154   
0601ARA0N       20180101000190100000005000 0000000340000175   
0601ARA0N       20180101000195100000005000 0000000390000198   
0601ARA0N       20180101000200100000005000 0000000440000217   
0601ARA0N       20180101000205100000005000 0000000490000236   
0601ARA0N       20180101000210100000005000 0000000540000254   
0601ARA0N       20180101000215100000005000 0000000600000276   
0601ARA0N       20180101000220100000005000 0000000660000296   
0601ARA0N       20180101000225100000005000 0000000720000316   
0601ARA0N       20180101000230100000005000 0000000780000334   
0601ARA0N       20180101000235100000005000 0000000840000352   
0601ARA0N       20180101000240100000005000 0000000900000369   
0601ARA0N       20180101000245100000005000 0000000960000386   
0601ARA0N       20180101000250100000005000 0000001010000402   
0601ARA0N       20180101000255100000005000 0000001070000417   
0601ARA0N       20180101000260100000005000 0000001130000432   
0601ARA0N       20180101000265100000005000 0000001190000446   
0601ARA0N       20180101000270100000005000 0000001250000459   
0601ARA0N       20180101000275100000005000 0000001310000472   
0601ARA0N       20180101000280100000005000 0000001370000485   
0601ARA0N       20180101000285100000005000 0000001430000497   
0601ARA0N       20180101000290100000005000 0000001490000509   
0601ARA0N       20180101000295100000005000 0000001550000520   
0601ARA0N       20180101000300100000005000 0000001610000531   
0601ARA0N       20180101000305100000005000 0000001670000542   
0601ARA0N       20180101000310100000005000 0000001730000552   
0601ARA0N       20180101000315100000005000 0000001780000562   
0601ARA0N       20180101000320100000005000 0000001850000572   
0601ARA0N       20180101000325100000005000 0000001930000590   
0601ARA0N       20180101000330100000005000 0000002000000603   
0601ARA0N       20180101000335100000005000 0000002080000615   
0601ARA0N       20180101000340100000005000 0000002150000627   
0601ARA0N       20180101000345100000005000 0000002220000639   
0601ARA0N       20180101000350100000005000 0000002290000650   
0601ARA0N       20180101000355100000005000 0000002360000661   
0601ARA0N       20180101000360100000005000 0000002430000671   
0601ARA0N       20180101000365100000005000 0000002510000682   
0601ARA0N       20180101000370100000005000 0000002580000692   
0601ARA0N       20180101000375100000005000 0000002650000702   
0601ARA0N       20180101000380100000005000 0000002720000712   
0601ARA0N       20180101000385100000005000 0000002790000721   
0601ARA0N       20180101000390100000005000 0000002870000730   
0601ARA0N       20180101000395100000005000 0000002940000739   
0601ARA0N       20180101000400100000005000 0000003010000748   
0601ARA0N       20180101000405100000005000 0000003080000756   
0601ARA0N       20180101000410100000005000 0000003150000765   
0601ARA0N       20180101000415100000005000 0000003230000773   
0601ARA0N       20180101000420100000005000 0000003300000781   
0601ARA0N       20180101000425100000005000 0000003370000789   
0601ARA0N       20180101000430100000005000 0000003440000796   
0601ARA0N       20180101000435100000005000 0000003520000803   
0601ARA0N       20180101000440100000005000 0000003590000811   
0601ARA0N       20180101000445100000005000 0000003660000818   
0601ARA0N       20180101000450100000005000 0000003730000825   
0601ARA0N       20180101000455100000005000 0000003820000835   
0601ARA0N       20180101000460100000005000 0000003890000842   
0601ARA0N       20180101000465100000005000 0000003970000850   
0601ARA0N       20180101000470100000005000 0000004060000858   
0601ARA0N       20180101000475100000005000 0000004140000867   
0601ARA0N       20180101000480100000005000 0000004230000876   
0601ARA0N       20180101000485100000005000 0000004310000885   
0601ARA0N       20180101000490100000005000 0000004400000893   
0601ARA0N       20180101000495100000005000 0000004490000902   
0601ARA0N       20180101000500100000005000 0000004570000910   
0601ARA0N       20180101000505100000005000 0000004660000918   
0601ARA0N       20180101000510100000005000 0000004740000925   
0601ARA0N       20180101000515100000005000 0000004830000934   
0601ARA0N       20180101000520100000005000 0000004920000941   
0601ARA0N       20180101000525100000005000 0000005000000948   
0601ARA0N       20180101000530100000005000 0000005090000955   
0601ARA0N       20180101000535100000005000 0000005170000963   
0601ARA0N       20180101000540100000005000 0000005260000970   
0601ARA0N       20180101000545100000005000 0000005350000977   
0601ARA0N       20180101000550100000005000 0000005430000983   
0601ARA0N       20180101000555100000005000 0000005520000990   
0601ARA0N       20180101000560100000005000 0000005620000999   
0601ARA0N       20180101000565100000005000 0000005710001005   
0601ARA0N       20180101000570100000005000 0000005790001012   
0601ARA0N       20180101000575100000005000 0000005880001018   
0601ARA0N       20180101000580100000005000 0000005970001024   
0601ARA0N       20180101000585100000005000 0000006080001034   
0601ARA0N       20180101000590100000005000 0000006170001041   
0601ARA0N       20180101000595100000005000 0000006260001048   
0601ARA0N       20180101000600100000005000 0000006350001054   
0601ARA0N       20180101000605100000005000 0000006460001064   
0601ARA0N       20180101000610100000005000 0000006560001070   
0601ARA0N       20180101000615100000005000 0000006650001077   
0601ARA0N       20180101000620100000005000 0000006740001083   
0601ARA0N       20180101000625100000005000 0000006840001089   
0601ARA0N       20180101000630100000005000 0000006950001098   
0601ARA0N       20180101000635100000005000 0000007040001104   
