00GE               20171120                                                                                   
0601GEA0N       20180101000000000000225000 0000000000000000   
0601GEA0N       20180101000225005000005000 0000000000000003   
0601GEA0N       20180101000230005000005000 0000000000000029   
0601GEA0N       20180101000235005000005000 0000000000000062   
0601GEA0N       20180101000240005000005000 0000000000000087   
0601GEA0N       20180101000245005000005000 0000000000000110   
0601GEA0N       20180101000250005000005000 0000000000000132   
0601GEA0N       20180101000255005000005000 0000000000000154   
0601GEA0N       20180101000260005000005000 0000000000000175   
0601GEA0N       20180101000265005000005000 0000000000000198   
0601GEA0N       20180101000270005000005000 0000000000000219   
0601GEA0N       20180101000275005000005000 0000000000000241   
0601GEA0N       20180101000280005000005000 0000000000000261   
0601GEA0N       20180101000285005000005000 0000000000000283   
0601GEA0N       20180101000290005000005000 0000000000000304   
0601GEA0N       20180101000295005000005000 0000000000000325   
0601GEA0N       20180101000300005000005000 0000000000000345   
0601GEA0N       20180101000305005000005000 0000000000000366   
0601GEA0N       20180101000310005000005000 0000000000000387   
0601GEA0N       20180101000315005000005000 0000000000000408   
0601GEA0N       20180101000320005000005000 0000000000000427   
0601GEA0N       20180101000325005000005000 0000000000000448   
0601GEA0N       20180101000330005000005000 0000000000000469   
0601GEA0N       20180101000335005000005000 0000000000000489   
0601GEA0N       20180101000340005000005000 0000000000000508   
0601GEA0N       20180101000345005000005000 0000000000000527   
0601GEA0N       20180101000350005000005000 0000000000000546   
0601GEA0N       20180101000355005000005000 0000000000000564   
0601GEA0N       20180101000360005000005000 0000000000000582   
0601GEA0N       20180101000365005000005000 0000000000000599   
0601GEA0N       20180101000370005000005000 0000000000000615   
0601GEA0N       20180101000375005000005000 0000000000000632   
0601GEA0N       20180101000380005000005000 0000000000000649   
0601GEA0N       20180101000385005000005000 0000000000000667   
0601GEA0N       20180101000390005000005000 0000000000000684   
0601GEA0N       20180101000395005000005000 0000000000000700   
0601GEA0N       20180101000400005000005000 0000000000000716   
0601GEA0N       20180101000405005000005000 0000000000000732   
0601GEA0N       20180101000410005000005000 0000000000000747   
0601GEA0N       20180101000415005000005000 0000000000000762   
0601GEA0N       20180101000420005000005000 0000000000000778   
0601GEA0N       20180101000425005000005000 0000000000000793   
0601GEA0N       20180101000430005000005000 0000000000000809   
0601GEA0N       20180101000435005000005000 0000000000000824   
0601GEA0N       20180101000440005000005000 0000000000000839   
0601GEA0N       20180101000445005000005000 0000000000000853   
0601GEA0N       20180101000450005000005000 0000000000000868   
0601GEA0N       20180101000455005000005000 0000000000000881   
0601GEA0N       20180101000460005000005000 0000000000000895   
0601GEA0N       20180101000465005000005000 0000000000000909   
0601GEA0N       20180101000470005000005000 0000000000000924   
0601GEA0N       20180101000475005000005000 0000000000000939   
0601GEA0N       20180101000480005000005000 0000000000000954   
0601GEA0N       20180101000485005000005000 0000000000000968   
0601GEA0N       20180101000490005000005000 0000000000000982   
0601GEA0N       20180101000495005000005000 0000000000000996   
0601GEA0N       20180101000500005000005000 0000000000001010   
0601GEA0N       20180101000505005000005000 0000000000001024   
0601GEA0N       20180101000510005000005000 0000000000001038   
0601GEA0N       20180101000515005000005000 0000000000001051   
0601GEA0N       20180101000520005000005000 0000000000001065   
0601GEA0N       20180101000525005000005000 0000000000001078   
0601GEA0N       20180101000530005000005000 0000000000001091   
0601GEA0N       20180101000535005000005000 0000000000001103   
0601GEA0N       20180101000540005000005000 0000000000001115   
0601GEA0N       20180101000545005000005000 0000000000001128   
0601GEA0N       20180101000550005000005000 0000000000001141   
0601GEA0N       20180101000555005000005000 0000000000001153   
0601GEA0N       20180101000560005000005000 0000000000001165   
0601GEA0N       20180101000565005000005000 0000000000001177   
0601GEA0N       20180101000570005000005000 0000000000001188   
0601GEA0N       20180101000575005000005000 0000000000001200   
0601GEA0N       20180101000580005000005000 0000000000001211   
0601GEA0N       20180101000585005000005000 0000000000001222   
0601GEA0N       20180101000590005000005000 0000000000001233   
0601GEA0N       20180101000595005000005000 0000000000001243   
0601GEA0N       20180101000600005000005000 0000000000001254   
0601GEA0N       20180101000605005000005000 0000000000001264   
0601GEA0N       20180101000610005000005000 0000000000001274   
0601GEA0N       20180101000615005000005000 0000000000001284   
0601GEA0N       20180101000620005000005000 0000000000001294   
0601GEA0N       20180101000625005000005000 0000000000001304   
0601GEA0N       20180101000630005000005000 0000000000001314   
0601GEA0N       20180101000635005000005000 0000000000001324   
0601GEA0N       20180101000640005000005000 0000000000001333   
0601GEA0N       20180101000645005000005000 0000000000001342   
0601GEA0N       20180101000650005000005000 0000000000001351   
0601GEA0N       20180101000655005000005000 0000000000001360   
0601GEA0N       20180101000660005000005000 0000000000001369   
0601GEA0N       20180101000665005000005000 0000000000001378   
0601GEA0N       20180101000670005000005000 0000000000001386   
0601GEA0N       20180101000675005000005000 0000000000001395   
0601GEA0N       20180101000680005000005000 0000000000001403   
0601GEA0N       20180101000685005000005000 0000000000001411   
0601GEA0N       20180101000690005000005000 0000000000001419   
0601GEA0N       20180101000695005000005000 0000000000001427   
0601GEA0N       20180101000700005000005000 0000000000001435   
0601GEA0N       20180101000705005000005000 0000000000001443   
0601GEA0N       20180101000710005000005000 0000000000001450   
0601GEA0N       20180101000715005000005000 0000000000001458   
0601GEA0N       20180101000720005000005000 0000000000001465   
0601GEA0N       20180101000725005000005000 0000000000001472   
0601GEA0N       20180101000730005000005000 0000000000001480   
0601GEA0N       20180101000735005000005000 0000000000001487   
0601GEA0N       20180101000740005000005000 0000000000001494   
0601GEA0N       20180101000745005000005000 0000000000001501   
0601GEA0N       20180101000750005000005000 0000000000001507   
0601GEA0N       20180101000755005000005000 0000000000001514   
0601GEA0N       20180101000760005000005000 0000000000001521   
0601GEA0N       20180101000765005000005000 0000000000001528   
0601GEA0N       20180101000770005000005000 0000000000001535   
0601GEA0N       20180101000775005000005000 0000000000001542   
0601GEA0N       20180101000780005000005000 0000000000001551   
0601GEA0N       20180101000785005000005000 0000000000001559   
0601GEA0N       20180101000790005000005000 0000000000001567   
0601GEA0N       20180101000795005000005000 0000000000001575   
0601GEA0N       20180101000800005000005000 0000000000001583   
0601GEA0N       20180101000805005000005000 0000000000001591   
0601GEA0N       20180101000810005000005000 0000000000001599   
0601GEA0N       20180101000815005000005000 0000000000001606   
0601GEA0N       20180101000820005000005000 0000000000001614   
0601GEA0N       20180101000825005000005000 0000000000001621   
0601GEA0N       20180101000830005000005000 0000000000001629   
0601GEA0N       20180101000835005000005000 0000000000001636   
0601GEA0N       20180101000840005000005000 0000000000001644   
0601GEA0N       20180101000845005000005000 0000000000001651   
0601GEA0N       20180101000850005000005000 0000000000001659   
0601GEA0N       20180101000855005000005000 0000000000001666   
0601GEA0N       20180101000860005000005000 0000000000001673   
0601GEA0N       20180101000865005000005000 0000000000001680   
0601GEA0N       20180101000870005000005000 0000000000001687   
0601GEA0N       20180101000875005000005000 0000000000001694   
0601GEA0N       20180101000880005000005000 0000000000001701   
0601GEA0N       20180101000885005000005000 0000000000001708   
0601GEA0N       20180101000890005000005000 0000000000001714   
0601GEA0N       20180101000895005000005000 0000000000001721   
0601GEA0N       20180101000900005000005000 0000000000001728   
0601GEA0N       20180101000905005000005000 0000000000001734   
0601GEA0N       20180101000910005000005000 0000000000001741   
0601GEA0N       20180101000915005000005000 0000000000001748   
0601GEA0N       20180101000920005000005000 0000000000001754   
0601GEA0N       20180101000925005000005000 0000000000001760   
0601GEA0N       20180101000930005000005000 0000000000001766   
0601GEA0N       20180101000935005000005000 0000000000001772   
0601GEA0N       20180101000940005000005000 0000000000001778   
0601GEA0N       20180101000945005000005000 0000000000001784   
0601GEA0N       20180101000950005000005000 0000000000001790   
0601GEA0N       20180101000955005000005000 0000000000001796   
0601GEA0N       20180101000960005000005000 0000000000001802   
0601GEA0N       20180101000965005000005000 0000000000001807   
0601GEA0N       20180101000970005000005000 0000000000001813   
0601GEA0N       20180101000975005000005000 0000000000001819   
0601GEA0N       20180101000980005000005000 0000000000001824   
0601GEA0N       20180101000985005000005000 0000000000001830   
0601GEA0N       20180101000990005000005000 0000000000001835   
0601GEA0N       20180101000995005000005000 0000000000001840   
0601GEA0N       20180101001000005000005000 0000000000001846   
0601GEA0N       20180101001005005000005000 0000000000001851   
0601GEA0N       20180101001010005000005000 0000000000001856   
0601GEA0N       20180101001015005000005000 0000000000001861   
0601GEA0N       20180101001020005000005000 0000000000001866   
0601GEA0N       20180101001025005000005000 0000000000001871   
0601GEA0N       20180101001030005000005000 0000000000001876   
0601GEA0N       20180101001035005000005000 0000000000001881   
0601GEA0N       20180101001040005000005000 0000000000001886   
0601GEA0N       20180101001045005000005000 0000000000001891   
0601GEA0N       20180101001050005000005000 0000000000001896   
0601GEA0N       20180101001055005000005000 0000000000001901   
0601GEA0N       20180101001060005000005000 0000000000001906   
0601GEA0N       20180101001065005000005000 0000000000001911   
0601GEA0N       20180101001070005000005000 0000000000001915   
0601GEA0N       20180101001075005000005000 0000000000001920   
0601GEA0N       20180101001080005000005000 0000000000001924   
0601GEA0N       20180101001085005000005000 0000000000001929   
0601GEA0N       20180101001090005000005000 0000000000001935   
0601GEA0N       20180101001095005000005000 0000000000001940   
0601GEA0N       20180101001100005000005000 0000000000001945   
0601GEA0N       20180101001105005000005000 0000000000001950   
0601GEA0N       20180101001110005000005000 0000000000001955   
0601GEA0N       20180101001115005000005000 0000000000001961   
0601GEA0N       20180101001120005000005000 0000000000001966   
0601GEA0N       20180101001125005000005000 0000000000001971   
0601GEA0N       20180101001130005000005000 0000000000001976   
0601GEA0N       20180101001135005000005000 0000000000001981   
