00VD               20170904                                                                                   
0601VDA0N       20180101000000100000235000 0000000000000000   
0601VDA0N       20180101000235100000005000 0000000000000019   
0601VDA0N       20180101000240100000005000 0000000000000031   
0601VDA0N       20180101000245100000005000 0000000000000044   
0601VDA0N       20180101000250100000005000 0000000000000058   
0601VDA0N       20180101000255100000005000 0000000000000076   
0601VDA0N       20180101000260100000005000 0000000000000093   
0601VDA0N       20180101000265100000005000 0000000000000118   
0601VDA0N       20180101000270100000005000 0000000000000139   
0601VDA0N       20180101000275100000005000 0000000000000157   
0601VDA0N       20180101000280100000005000 0000000000000180   
0601VDA0N       20180101000285100000005000 0000000000000201   
0601VDA0N       20180101000290100000005000 0000000000000228   
0601VDA0N       20180101000295100000005000 0000000000000250   
0601VDA0N       20180101000300100000005000 0000000000000271   
0601VDA0N       20180101000305100000005000 0000000000000298   
0601VDA0N       20180101000310100000005000 0000000000000327   
0601VDA0N       20180101000315100000005000 0000000000000347   
0601VDA0N       20180101000320100000005000 0000000000000374   
0601VDA0N       20180101000325100000005000 0000000000000397   
0601VDA0N       20180101000330100000005000 0000000000000424   
0601VDA0N       20180101000335100000005000 0000000000000455   
0601VDA0N       20180101000340100000005000 0000000000000476   
0601VDA0N       20180101000345100000005000 0000000000000501   
0601VDA0N       20180101000350100000005000 0000000000000521   
0601VDA0N       20180101000355100000005000 0000000000000548   
0601VDA0N       20180101000360100000005000 0000000000000571   
0601VDA0N       20180101000365100000005000 0000000000000590   
0601VDA0N       20180101000370100000005000 0000000000000611   
0601VDA0N       20180101000375100000005000 0000000000000633   
0601VDA0N       20180101000380100000005000 0000000000000662   
0601VDA0N       20180101000385100000005000 0000000000000685   
0601VDA0N       20180101000390100000005000 0000000000000705   
0601VDA0N       20180101000395100000005000 0000000000000727   
0601VDA0N       20180101000400100000005000 0000000000000746   
0601VDA0N       20180101000405100000005000 0000000000000771   
0601VDA0N       20180101000410100000005000 0000000000000792   
0601VDA0N       20180101000415100000005000 0000000000000809   
0601VDA0N       20180101000420100000005000 0000000000000830   
0601VDA0N       20180101000425100000005000 0000000000000852   
0601VDA0N       20180101000430100000005000 0000000000000869   
0601VDA0N       20180101000435100000005000 0000000000000887   
0601VDA0N       20180101000440100000005000 0000000000000901   
0601VDA0N       20180101000445100000005000 0000000000000920   
0601VDA0N       20180101000450100000005000 0000000000000940   
0601VDA0N       20180101000455100000005000 0000000000000955   
0601VDA0N       20180101000460100000005000 0000000000000971   
0601VDA0N       20180101000465100000005000 0000000000000984   
0601VDA0N       20180101000470100000005000 0000000000001005   
0601VDA0N       20180101000475100000005000 0000000000001025   
